TimeStamp	FrameNumber	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	0.63887	1.74462	-0.04137	0.54788	1.82188	0.02028	0.46380	1.74871	-0.02648	0.58593	1.72711	0.10548	0.55686	1.54026	-0.08499	0.55472	1.17898	-0.14672	0.55140	0.99350	-0.15343	0.55154	1.04284	0.09830	0.56539	1.29329	0.09328	0.56381	1.48332	0.05126	0.49771	1.35325	-0.16672	0.71458	1.53683	-0.06516	0.83181	1.40407	-0.11901	0.89861	1.28138	-0.13940	0.84305	1.23360	-0.10456	1.00639	1.21866	-0.10690	1.09548	1.10978	-0.10699	1.07626	1.08798	-0.03807	1.15173	1.06615	-0.07155	0.41123	1.53481	-0.04362	0.28301	1.41410	-0.07209	0.20282	1.29220	-0.08624	0.24957	1.23933	-0.05207	0.10116	1.23492	-0.06723	-0.00596	1.11473	-0.05744	0.01978	1.10989	0.01103	-0.05775	1.07567	-0.01983	0.68630	0.98657	0.04128	0.41574	0.97991	0.04499	0.59966	1.01888	-0.14944	0.50876	1.02098	-0.14409	0.74597	0.93112	-0.03079	0.73687	0.71252	-0.02358	0.69741	0.53426	-0.06193	0.69706	0.27771	-0.10950	0.67697	0.10560	-0.10550	0.62522	0.04946	-0.16666	0.64945	0.04910	0.12297	0.73008	0.04617	0.01948	0.36436	0.92434	-0.01171	0.37098	0.63815	-0.02939	0.39595	0.52559	-0.04749	0.36424	0.34713	-0.08424	0.38925	0.10159	-0.08075	0.42901	0.05020	-0.15259	0.44130	0.05792	0.13922	0.35083	0.03807	0.03249	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	0.63888	1.74463	-0.04146	0.54793	1.82192	0.02040	0.46380	1.74869	-0.02650	0.58591	1.72713	0.10540	0.55684	1.54028	-0.08504	0.55473	1.17894	-0.14675	0.55143	0.99349	-0.15345	0.55155	1.04283	0.09831	0.56534	1.29329	0.09327	0.56380	1.48333	0.05124	0.49763	1.35325	-0.16679	0.71458	1.53686	-0.06520	0.83179	1.40405	-0.11908	0.89859	1.28142	-0.13947	0.84302	1.23363	-0.10468	1.00635	1.21868	-0.10694	1.09553	1.10980	-0.10703	1.07627	1.08800	-0.03814	1.15172	1.06617	-0.07157	0.41120	1.53484	-0.04361	0.28301	1.41409	-0.07210	0.20284	1.29220	-0.08631	0.24958	1.23931	-0.05209	0.10118	1.23491	-0.06725	-0.00593	1.11470	-0.05750	0.01985	1.10982	0.01099	-0.05770	1.07558	-0.01990	0.68631	0.98658	0.04124	0.41576	0.97992	0.04500	0.59965	1.01887	-0.14949	0.50875	1.02096	-0.14409	0.74613	0.93119	-0.03080	0.73683	0.71251	-0.02358	0.69743	0.53425	-0.06194	0.69704	0.27770	-0.10951	0.67697	0.10560	-0.10548	0.62523	0.04944	-0.16665	0.64943	0.04910	0.12297	0.73007	0.04615	0.01944	0.36438	0.92432	-0.01169	0.37091	0.63818	-0.02925	0.39592	0.52559	-0.04740	0.36425	0.34714	-0.08422	0.38923	0.10162	-0.08072	0.42901	0.05020	-0.15259	0.44128	0.05793	0.13923	0.35081	0.03806	0.03250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	0.63891	1.74467	-0.04153	0.54782	1.82189	0.02016	0.46373	1.74874	-0.02646	0.58593	1.72714	0.10535	0.55679	1.54029	-0.08510	0.55469	1.17897	-0.14679	0.55140	0.99348	-0.15350	0.55158	1.04284	0.09828	0.56537	1.29333	0.09322	0.56378	1.48332	0.05119	0.49763	1.35331	-0.16681	0.71454	1.53687	-0.06531	0.83185	1.40410	-0.11914	0.89859	1.28143	-0.13950	0.84304	1.23364	-0.10481	1.00636	1.21869	-0.10702	1.09549	1.10985	-0.10709	1.07624	1.08802	-0.03821	1.15170	1.06617	-0.07161	0.41116	1.53484	-0.04363	0.28301	1.41413	-0.07211	0.20284	1.29224	-0.08633	0.24961	1.23933	-0.05211	0.10122	1.23492	-0.06725	-0.00587	1.11466	-0.05754	0.01993	1.10978	0.01095	-0.05765	1.07553	-0.01994	0.68634	0.98658	0.04118	0.41579	0.97992	0.04506	0.59961	1.01884	-0.14949	0.50874	1.02093	-0.14409	0.74617	0.93122	-0.03088	0.73686	0.71252	-0.02365	0.69741	0.53426	-0.06197	0.69704	0.27768	-0.10952	0.67697	0.10563	-0.10550	0.62521	0.04947	-0.16667	0.64946	0.04910	0.12297	0.73004	0.04616	0.01944	0.36434	0.92437	-0.01160	0.37090	0.63820	-0.02921	0.39588	0.52561	-0.04735	0.36422	0.34716	-0.08411	0.38924	0.10165	-0.08073	0.42900	0.05023	-0.15259	0.44126	0.05793	0.13921	0.35076	0.03810	0.03248	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	0.63892	1.74467	-0.04159	0.54787	1.82192	0.02028	0.46371	1.74873	-0.02646	0.58592	1.72713	0.10529	0.55672	1.54025	-0.08513	0.55465	1.17897	-0.14684	0.55141	0.99344	-0.15350	0.55159	1.04283	0.09827	0.56538	1.29334	0.09316	0.56377	1.48333	0.05111	0.49762	1.35327	-0.16689	0.71451	1.53689	-0.06540	0.83187	1.40413	-0.11921	0.89860	1.28147	-0.13958	0.84302	1.23364	-0.10481	1.00632	1.21873	-0.10709	1.09549	1.10986	-0.10715	1.07620	1.08803	-0.03829	1.15169	1.06615	-0.07168	0.41114	1.53484	-0.04365	0.28301	1.41413	-0.07211	0.20282	1.29225	-0.08632	0.24961	1.23937	-0.05217	0.10120	1.23495	-0.06726	-0.00587	1.11463	-0.05757	0.01998	1.10971	0.01090	-0.05763	1.07549	-0.02001	0.68636	0.98659	0.04115	0.41582	0.97991	0.04506	0.59963	1.01886	-0.14954	0.50874	1.02093	-0.14410	0.74632	0.93125	-0.03091	0.73689	0.71253	-0.02370	0.69738	0.53421	-0.06204	0.69705	0.27767	-0.10955	0.67696	0.10560	-0.10552	0.62524	0.04946	-0.16667	0.64943	0.04909	0.12296	0.73004	0.04616	0.01944	0.36436	0.92435	-0.01160	0.37091	0.63817	-0.02919	0.39590	0.52563	-0.04735	0.36424	0.34715	-0.08413	0.38926	0.10163	-0.08075	0.42901	0.05021	-0.15259	0.44125	0.05793	0.13921	0.35078	0.03810	0.03253	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	0.63882	1.74465	-0.04168	0.54785	1.82194	0.02028	0.46378	1.74870	-0.02663	0.58595	1.72716	0.10526	0.55670	1.54025	-0.08521	0.55468	1.17897	-0.14686	0.55140	0.99343	-0.15350	0.55162	1.04280	0.09830	0.56540	1.29333	0.09309	0.56381	1.48331	0.05104	0.49754	1.35326	-0.16696	0.71454	1.53692	-0.06547	0.83184	1.40417	-0.11928	0.89858	1.28151	-0.13964	0.84301	1.23370	-0.10486	1.00631	1.21875	-0.10717	1.09551	1.10989	-0.10720	1.07619	1.08808	-0.03833	1.15168	1.06615	-0.07170	0.41111	1.53487	-0.04365	0.28300	1.41417	-0.07213	0.20282	1.29228	-0.08638	0.24958	1.23936	-0.05222	0.10116	1.23498	-0.06728	-0.00588	1.11469	-0.05762	0.01999	1.10969	0.01084	-0.05760	1.07546	-0.02003	0.68640	0.98661	0.04112	0.41585	0.97991	0.04502	0.59969	1.01890	-0.14956	0.50871	1.02091	-0.14412	0.74627	0.93121	-0.03100	0.73688	0.71252	-0.02375	0.69744	0.53426	-0.06202	0.69704	0.27768	-0.10954	0.67694	0.10561	-0.10553	0.62522	0.04945	-0.16666	0.64942	0.04909	0.12296	0.73005	0.04615	0.01944	0.36439	0.92436	-0.01151	0.37092	0.63816	-0.02917	0.39592	0.52562	-0.04733	0.36423	0.34716	-0.08413	0.38922	0.10162	-0.08071	0.42900	0.05018	-0.15255	0.44124	0.05792	0.13920	0.35076	0.03810	0.03252	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	0.63879	1.74466	-0.04174	0.54775	1.82188	0.02004	0.46367	1.74869	-0.02656	0.58595	1.72715	0.10519	0.55663	1.54027	-0.08527	0.55462	1.17895	-0.14689	0.55138	0.99343	-0.15352	0.55163	1.04280	0.09829	0.56543	1.29336	0.09304	0.56379	1.48330	0.05095	0.49756	1.35327	-0.16693	0.71452	1.53694	-0.06557	0.83179	1.40418	-0.11936	0.89861	1.28153	-0.13970	0.84300	1.23375	-0.10491	1.00631	1.21879	-0.10721	1.09551	1.10992	-0.10728	1.07616	1.08810	-0.03843	1.15164	1.06614	-0.07174	0.41110	1.53488	-0.04368	0.28300	1.41421	-0.07219	0.20278	1.29236	-0.08640	0.24958	1.23941	-0.05226	0.10114	1.23504	-0.06732	-0.00588	1.11473	-0.05768	0.02001	1.10971	0.01081	-0.05757	1.07543	-0.02007	0.68644	0.98661	0.04110	0.41589	0.97992	0.04508	0.59956	1.01883	-0.14956	0.50877	1.02092	-0.14412	0.74632	0.93124	-0.03102	0.73694	0.71251	-0.02382	0.69743	0.53423	-0.06205	0.69703	0.27767	-0.10957	0.67696	0.10561	-0.10552	0.62522	0.04945	-0.16666	0.64931	0.04909	0.12281	0.73005	0.04615	0.01943	0.36445	0.92437	-0.01147	0.37096	0.63821	-0.02914	0.39590	0.52561	-0.04737	0.36424	0.34717	-0.08413	0.38925	0.10164	-0.08076	0.42905	0.05023	-0.15261	0.44127	0.05792	0.13920	0.35075	0.03814	0.03250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	0.63875	1.74465	-0.04186	0.54782	1.82191	0.02016	0.46358	1.74867	-0.02646	0.58602	1.72713	0.10513	0.55664	1.54028	-0.08531	0.55455	1.17893	-0.14696	0.55138	0.99343	-0.15355	0.55168	1.04279	0.09829	0.56548	1.29338	0.09296	0.56382	1.48332	0.05080	0.49749	1.35327	-0.16699	0.71455	1.53700	-0.06566	0.83179	1.40422	-0.11944	0.89861	1.28158	-0.13979	0.84305	1.23379	-0.10499	1.00628	1.21880	-0.10733	1.09548	1.10993	-0.10735	1.07619	1.08815	-0.03851	1.15161	1.06612	-0.07182	0.41110	1.53488	-0.04370	0.28302	1.41427	-0.07221	0.20272	1.29243	-0.08642	0.24960	1.23949	-0.05237	0.10110	1.23509	-0.06736	-0.00595	1.11479	-0.05769	0.02000	1.10972	0.01072	-0.05762	1.07547	-0.02007	0.68646	0.98662	0.04104	0.41592	0.97989	0.04506	0.59962	1.01887	-0.14963	0.50873	1.02089	-0.14414	0.74645	0.93124	-0.03109	0.73697	0.71251	-0.02386	0.69752	0.53422	-0.06211	0.69708	0.27768	-0.10957	0.67698	0.10560	-0.10552	0.62525	0.04943	-0.16667	0.64945	0.04910	0.12296	0.73007	0.04616	0.01945	0.36444	0.92438	-0.01142	0.37098	0.63817	-0.02918	0.39593	0.52564	-0.04733	0.36423	0.34714	-0.08413	0.38922	0.10164	-0.08072	0.42903	0.05019	-0.15257	0.44128	0.05791	0.13919	0.35076	0.03809	0.03250	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	0.63870	1.74463	-0.04194	0.54781	1.82190	0.02015	0.46358	1.74867	-0.02645	0.58603	1.72710	0.10507	0.55663	1.54029	-0.08539	0.55462	1.17890	-0.14701	0.55137	0.99342	-0.15357	0.55172	1.04275	0.09830	0.56554	1.29337	0.09287	0.56384	1.48329	0.05073	0.49742	1.35330	-0.16703	0.71451	1.53698	-0.06578	0.83175	1.40422	-0.11956	0.89861	1.28162	-0.13986	0.84303	1.23380	-0.10490	1.00627	1.21885	-0.10739	1.09545	1.10996	-0.10746	1.07615	1.08819	-0.03859	1.15159	1.06610	-0.07184	0.41110	1.53489	-0.04369	0.28297	1.41431	-0.07221	0.20269	1.29252	-0.08649	0.24952	1.23949	-0.05252	0.10108	1.23520	-0.06746	-0.00596	1.11484	-0.05778	0.01997	1.10977	0.01062	-0.05765	1.07553	-0.02009	0.68652	0.98662	0.04099	0.41598	0.97989	0.04506	0.59964	1.01884	-0.14963	0.50874	1.02089	-0.14416	0.74634	0.93119	-0.03116	0.73700	0.71249	-0.02390	0.69755	0.53423	-0.06213	0.69709	0.27766	-0.10961	0.67698	0.10558	-0.10551	0.62525	0.04944	-0.16666	0.64943	0.04909	0.12295	0.73007	0.04617	0.01945	0.36452	0.92434	-0.01143	0.37107	0.63815	-0.02922	0.39598	0.52559	-0.04736	0.36429	0.34710	-0.08423	0.38924	0.10163	-0.08074	0.42904	0.05020	-0.15260	0.44124	0.05791	0.13920	0.35078	0.03810	0.03247	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	0.63861	1.74462	-0.04201	0.54778	1.82190	0.02008	0.46352	1.74867	-0.02648	0.58606	1.72708	0.10503	0.55653	1.54028	-0.08549	0.55459	1.17897	-0.14705	0.55140	0.99342	-0.15360	0.55176	1.04277	0.09831	0.56558	1.29339	0.09281	0.56386	1.48326	0.05065	0.49747	1.35334	-0.16708	0.71447	1.53703	-0.06588	0.83170	1.40429	-0.11967	0.89858	1.28169	-0.13993	0.84305	1.23386	-0.10499	1.00622	1.21888	-0.10749	1.09538	1.10997	-0.10753	1.07609	1.08826	-0.03867	1.15152	1.06611	-0.07188	0.41112	1.53495	-0.04371	0.28292	1.41442	-0.07215	0.20268	1.29262	-0.08663	0.24951	1.23959	-0.05252	0.10100	1.23526	-0.06747	-0.00599	1.11493	-0.05785	0.01991	1.10986	0.01052	-0.05767	1.07559	-0.02022	0.68658	0.98664	0.04098	0.41607	0.97988	0.04507	0.59965	1.01882	-0.14965	0.50877	1.02088	-0.14416	0.74638	0.93119	-0.03123	0.73701	0.71249	-0.02393	0.69758	0.53423	-0.06216	0.69709	0.27766	-0.10961	0.67700	0.10559	-0.10552	0.62526	0.04942	-0.16666	0.64944	0.04912	0.12296	0.73007	0.04616	0.01942	0.36457	0.92437	-0.01142	0.37111	0.63814	-0.02928	0.39605	0.52562	-0.04737	0.36428	0.34710	-0.08423	0.38922	0.10164	-0.08072	0.42902	0.05022	-0.15260	0.44128	0.05795	0.13920	0.35080	0.03807	0.03244	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	0.63850	1.74461	-0.04211	0.54779	1.82188	0.02007	0.46347	1.74868	-0.02641	0.58610	1.72708	0.10496	0.55647	1.54030	-0.08555	0.55458	1.17894	-0.14710	0.55142	0.99341	-0.15362	0.55183	1.04276	0.09828	0.56563	1.29340	0.09273	0.56390	1.48323	0.05054	0.49742	1.35332	-0.16708	0.71445	1.53708	-0.06600	0.83166	1.40435	-0.11980	0.89856	1.28174	-0.14003	0.84303	1.23394	-0.10502	1.00622	1.21896	-0.10756	1.09538	1.11002	-0.10760	1.07603	1.08831	-0.03877	1.15148	1.06610	-0.07193	0.41113	1.53497	-0.04372	0.28290	1.41449	-0.07217	0.20257	1.29270	-0.08659	0.24948	1.23966	-0.05258	0.10095	1.23538	-0.06757	-0.00603	1.11509	-0.05799	0.01981	1.10998	0.01041	-0.05774	1.07572	-0.02034	0.68662	0.98664	0.04094	0.41613	0.97985	0.04506	0.59969	1.01884	-0.14968	0.50874	1.02087	-0.14416	0.74638	0.93119	-0.03123	0.73704	0.71248	-0.02401	0.69759	0.53424	-0.06221	0.69712	0.27766	-0.10962	0.67701	0.10557	-0.10551	0.62525	0.04944	-0.16666	0.64945	0.04912	0.12297	0.73008	0.04617	0.01943	0.36459	0.92437	-0.01141	0.37117	0.63815	-0.02926	0.39610	0.52563	-0.04736	0.36430	0.34711	-0.08424	0.38924	0.10165	-0.08070	0.42902	0.05017	-0.15256	0.44132	0.05794	0.13920	0.35081	0.03814	0.03252	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
