TimeStamp,FrameNumber,TreadmillSpeed,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,0.00000,0.72531,1.74440,0.11886,0.77471,1.82216,0.23009,0.69318,1.74649,0.30164,0.83378,1.73511,0.19979,0.63573,1.54902,0.19847,0.57352,1.18413,0.19146,0.56955,0.99980,0.19504,0.81782,1.05264,0.24396,0.81242,1.30081,0.22730,0.77086,1.49117,0.21802,0.54194,1.35680,0.24302,0.69041,1.54132,0.04307,0.65199,1.40717,-0.08105,0.63516,1.28170,-0.14728,0.66761,1.23348,-0.08853,0.68643,1.22610,-0.25401,0.71110,1.12438,-0.35031,0.77772,1.10766,-0.31982,0.76294,1.08510,-0.40025,0.64483,1.54473,0.34856,0.59075,1.42481,0.47210,0.56334,1.30143,0.55059,0.60772,1.24847,0.51178,0.56169,1.24558,0.65553,0.55327,1.12772,0.76635,0.62554,1.12078,0.75225,0.58175,1.09184,0.82542,0.78954,0.99304,0.09763,0.73989,0.98895,0.36991,0.58384,1.02520,0.14761,0.57165,1.02609,0.23887,0.72533,0.93427,0.03005,0.73372,0.71591,0.04105,0.69260,0.53553,0.07571,0.65065,0.27605,0.07089,0.65593,0.10204,0.09320,0.58639,0.04649,0.13112,0.87465,0.04980,0.17171,0.79144,0.04372,0.06868,0.67455,0.93086,0.40962,0.66588,0.64374,0.39687,0.65395,0.52967,0.36842,0.61388,0.34782,0.38999,0.62513,0.10139,0.36131,0.56207,0.04929,0.30813,0.85326,0.06035,0.35117,0.72979,0.03795,0.42019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,0.00000,0.72529,1.74442,0.11885,0.77467,1.82216,0.23009,0.69313,1.74649,0.30163,0.83373,1.73510,0.19981,0.63570,1.54901,0.19845,0.57349,1.18414,0.19140,0.56956,0.99978,0.19503,0.81784,1.05264,0.24392,0.81242,1.30081,0.22730,0.77081,1.49118,0.21800,0.54193,1.35679,0.24297,0.69041,1.54133,0.04305,0.65195,1.40722,-0.08108,0.63517,1.28176,-0.14731,0.66758,1.23351,-0.08856,0.68644,1.22610,-0.25404,0.71105,1.12440,-0.35037,0.77765,1.10766,-0.31988,0.76290,1.08510,-0.40029,0.64477,1.54471,0.34853,0.59072,1.42479,0.47206,0.56334,1.30143,0.55059,0.60774,1.24845,0.51177,0.56171,1.24559,0.65555,0.55334,1.12776,0.76640,0.62561,1.12083,0.75230,0.58182,1.09190,0.82545,0.78946,0.99303,0.09760,0.73985,0.98893,0.36985,0.58382,1.02520,0.14761,0.57164,1.02609,0.23885,0.72524,0.93425,0.03000,0.73364,0.71589,0.04103,0.69256,0.53552,0.07568,0.65065,0.27605,0.07089,0.65593,0.10206,0.09318,0.58638,0.04651,0.13111,0.87465,0.04979,0.17170,0.79142,0.04373,0.06866,0.67453,0.93085,0.40958,0.66586,0.64376,0.39685,0.65393,0.52966,0.36838,0.61388,0.34783,0.38998,0.62514,0.10143,0.36129,0.56205,0.04927,0.30811,0.85325,0.06035,0.35118,0.72980,0.03795,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,0.00000,0.72528,1.74443,0.11885,0.77461,1.82216,0.23010,0.69304,1.74648,0.30159,0.83373,1.73510,0.19985,0.63570,1.54900,0.19845,0.57349,1.18413,0.19136,0.56953,0.99978,0.19504,0.81776,1.05260,0.24383,0.81239,1.30081,0.22726,0.77080,1.49116,0.21798,0.54188,1.35676,0.24293,0.69040,1.54134,0.04306,0.65199,1.40724,-0.08112,0.63521,1.28177,-0.14734,0.66760,1.23355,-0.08859,0.68643,1.22613,-0.25408,0.71099,1.12442,-0.35039,0.77763,1.10767,-0.31992,0.76280,1.08508,-0.40033,0.64472,1.54468,0.34851,0.59064,1.42476,0.47204,0.56332,1.30137,0.55057,0.60769,1.24844,0.51177,0.56171,1.24560,0.65555,0.55341,1.12777,0.76643,0.62566,1.12088,0.75231,0.58193,1.09195,0.82550,0.78945,0.99302,0.09756,0.73984,0.98894,0.36981,0.58379,1.02518,0.14759,0.57158,1.02608,0.23884,0.72521,0.93424,0.02998,0.73355,0.71588,0.04100,0.69251,0.53550,0.07566,0.65060,0.27604,0.07087,0.65592,0.10204,0.09319,0.58637,0.04651,0.13112,0.87467,0.04982,0.17170,0.79141,0.04373,0.06867,0.67452,0.93085,0.40955,0.66585,0.64372,0.39684,0.65393,0.52967,0.36837,0.61387,0.34785,0.38998,0.62513,0.10142,0.36132,0.56207,0.04928,0.30814,0.85323,0.06033,0.35118,0.72982,0.03794,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,0.00000,0.72529,1.74446,0.11884,0.77457,1.82216,0.23015,0.69297,1.74648,0.30157,0.83366,1.73512,0.19988,0.63567,1.54900,0.19843,0.57347,1.18415,0.19133,0.56949,0.99977,0.19500,0.81780,1.05259,0.24377,0.81239,1.30081,0.22722,0.77076,1.49115,0.21797,0.54185,1.35675,0.24291,0.69040,1.54135,0.04303,0.65200,1.40725,-0.08114,0.63520,1.28179,-0.14736,0.66757,1.23356,-0.08861,0.68642,1.22614,-0.25412,0.71095,1.12439,-0.35043,0.77759,1.10767,-0.31998,0.76271,1.08506,-0.40036,0.64469,1.54466,0.34849,0.59061,1.42474,0.47200,0.56332,1.30137,0.55057,0.60770,1.24844,0.51177,0.56173,1.24560,0.65556,0.55347,1.12781,0.76649,0.62574,1.12094,0.75234,0.58204,1.09199,0.82558,0.78941,0.99301,0.09750,0.73984,0.98893,0.36976,0.58376,1.02518,0.14758,0.57156,1.02607,0.23882,0.72518,0.93424,0.02994,0.73347,0.71591,0.04096,0.69254,0.53546,0.07569,0.65059,0.27601,0.07088,0.65593,0.10203,0.09318,0.58640,0.04650,0.13110,0.87466,0.04980,0.17170,0.79142,0.04372,0.06867,0.67450,0.93084,0.40952,0.66585,0.64374,0.39681,0.65391,0.52968,0.36834,0.61384,0.34782,0.38995,0.62512,0.10139,0.36129,0.56206,0.04927,0.30813,0.85324,0.06033,0.35117,0.72981,0.03793,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,0.00000,0.72523,1.74447,0.11887,0.77449,1.82216,0.23017,0.69289,1.74645,0.30162,0.83362,1.73513,0.19991,0.63565,1.54901,0.19841,0.57344,1.18414,0.19128,0.56947,0.99976,0.19496,0.81773,1.05256,0.24370,0.81236,1.30081,0.22721,0.77072,1.49117,0.21796,0.54182,1.35676,0.24289,0.69035,1.54138,0.04301,0.65199,1.40729,-0.08119,0.63521,1.28180,-0.14737,0.66762,1.23358,-0.08863,0.68636,1.22615,-0.25416,0.71089,1.12439,-0.35046,0.77756,1.10767,-0.32002,0.76262,1.08507,-0.40041,0.64465,1.54464,0.34847,0.59057,1.42472,0.47198,0.56330,1.30138,0.55058,0.60767,1.24845,0.51178,0.56175,1.24563,0.65560,0.55356,1.12786,0.76657,0.62582,1.12099,0.75237,0.58215,1.09208,0.82562,0.78937,0.99299,0.09748,0.73982,0.98892,0.36973,0.58370,1.02519,0.14754,0.57152,1.02608,0.23879,0.72514,0.93424,0.02990,0.73342,0.71592,0.04094,0.69247,0.53551,0.07563,0.65058,0.27604,0.07085,0.65591,0.10203,0.09319,0.58638,0.04650,0.13112,0.87466,0.04979,0.17170,0.79141,0.04371,0.06867,0.67446,0.93085,0.40948,0.66581,0.64375,0.39677,0.65389,0.52965,0.36830,0.61382,0.34784,0.38992,0.62513,0.10141,0.36128,0.56203,0.04930,0.30814,0.85324,0.06037,0.35118,0.72981,0.03795,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,0.00000,0.72520,1.74450,0.11892,0.77444,1.82218,0.23023,0.69283,1.74644,0.30162,0.83354,1.73516,0.19994,0.63560,1.54902,0.19838,0.57338,1.18416,0.19126,0.56944,0.99979,0.19491,0.81771,1.05255,0.24363,0.81228,1.30080,0.22715,0.77068,1.49118,0.21793,0.54178,1.35674,0.24285,0.69032,1.54139,0.04301,0.65200,1.40728,-0.08123,0.63519,1.28180,-0.14742,0.66761,1.23359,-0.08867,0.68629,1.22613,-0.25421,0.71081,1.12436,-0.35047,0.77749,1.10765,-0.32007,0.76255,1.08505,-0.40048,0.64462,1.54464,0.34847,0.59056,1.42471,0.47198,0.56329,1.30139,0.55058,0.60761,1.24843,0.51178,0.56178,1.24566,0.65562,0.55362,1.12790,0.76661,0.62588,1.12102,0.75237,0.58225,1.09215,0.82567,0.78934,0.99298,0.09746,0.73977,0.98892,0.36968,0.58367,1.02516,0.14751,0.57149,1.02607,0.23874,0.72509,0.93422,0.02988,0.73342,0.71592,0.04091,0.69241,0.53552,0.07562,0.65056,0.27603,0.07086,0.65592,0.10205,0.09319,0.58638,0.04650,0.13110,0.87465,0.04980,0.17169,0.79142,0.04373,0.06866,0.67443,0.93087,0.40945,0.66577,0.64376,0.39674,0.65387,0.52967,0.36828,0.61381,0.34783,0.38991,0.62511,0.10142,0.36126,0.56202,0.04930,0.30814,0.85321,0.06036,0.35120,0.72982,0.03795,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,0.00000,0.72514,1.74453,0.11895,0.77439,1.82218,0.23028,0.69276,1.74643,0.30165,0.83350,1.73517,0.20000,0.63555,1.54901,0.19839,0.57337,1.18415,0.19122,0.56943,0.99976,0.19491,0.81768,1.05253,0.24356,0.81226,1.30079,0.22712,0.77064,1.49116,0.21787,0.54175,1.35673,0.24284,0.69027,1.54137,0.04297,0.65199,1.40729,-0.08126,0.63519,1.28177,-0.14744,0.66764,1.23358,-0.08871,0.68624,1.22612,-0.25424,0.71073,1.12433,-0.35050,0.77745,1.10762,-0.32013,0.76244,1.08503,-0.40051,0.64458,1.54462,0.34845,0.59056,1.42472,0.47197,0.56326,1.30140,0.55060,0.60759,1.24843,0.51178,0.56182,1.24568,0.65567,0.55370,1.12797,0.76666,0.62593,1.12106,0.75240,0.58235,1.09221,0.82571,0.78939,0.99300,0.09741,0.73977,0.98893,0.36965,0.58367,1.02514,0.14747,0.57148,1.02606,0.23872,0.72510,0.93422,0.02984,0.73338,0.71592,0.04087,0.69247,0.53551,0.07561,0.65055,0.27603,0.07084,0.65589,0.10203,0.09320,0.58636,0.04651,0.13112,0.87466,0.04979,0.17170,0.79142,0.04372,0.06866,0.67441,0.93088,0.40944,0.66572,0.64376,0.39672,0.65384,0.52968,0.36826,0.61380,0.34783,0.38991,0.62510,0.10141,0.36130,0.56200,0.04931,0.30815,0.85322,0.06034,0.35118,0.72980,0.03794,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,0.00000,0.72508,1.74456,0.11898,0.77433,1.82215,0.23034,0.69269,1.74638,0.30169,0.83343,1.73516,0.20000,0.63550,1.54902,0.19836,0.57335,1.18416,0.19119,0.56940,0.99976,0.19486,0.81766,1.05252,0.24353,0.81220,1.30076,0.22710,0.77058,1.49114,0.21787,0.54172,1.35673,0.24283,0.69027,1.54137,0.04296,0.65195,1.40729,-0.08129,0.63516,1.28178,-0.14745,0.66767,1.23356,-0.08876,0.68621,1.22610,-0.25427,0.71070,1.12432,-0.35053,0.77744,1.10764,-0.32016,0.76239,1.08501,-0.40054,0.64455,1.54462,0.34843,0.59056,1.42472,0.47198,0.56325,1.30143,0.55062,0.60752,1.24843,0.51175,0.56187,1.24570,0.65567,0.55376,1.12801,0.76668,0.62601,1.12110,0.75240,0.58245,1.09229,0.82574,0.78930,0.99298,0.09738,0.73970,0.98891,0.36961,0.58362,1.02518,0.14742,0.57143,1.02607,0.23868,0.72505,0.93425,0.02983,0.73335,0.71590,0.04086,0.69243,0.53550,0.07558,0.65056,0.27601,0.07083,0.65590,0.10202,0.09320,0.58637,0.04651,0.13114,0.87465,0.04981,0.17170,0.79142,0.04372,0.06866,0.67440,0.93093,0.40948,0.66572,0.64376,0.39670,0.65385,0.52967,0.36827,0.61380,0.34783,0.38990,0.62512,0.10140,0.36128,0.56201,0.04929,0.30815,0.85322,0.06035,0.35121,0.72980,0.03794,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,0.00000,0.72501,1.74459,0.11902,0.77428,1.82214,0.23038,0.69262,1.74635,0.30168,0.83338,1.73518,0.20003,0.63547,1.54902,0.19832,0.57333,1.18413,0.19114,0.56938,0.99978,0.19480,0.81764,1.05252,0.24349,0.81217,1.30076,0.22704,0.77054,1.49112,0.21783,0.54166,1.35674,0.24280,0.69022,1.54137,0.04293,0.65194,1.40728,-0.08131,0.63515,1.28179,-0.14748,0.66767,1.23357,-0.08880,0.68617,1.22610,-0.25433,0.71064,1.12430,-0.35057,0.77734,1.10758,-0.32023,0.76227,1.08498,-0.40058,0.64454,1.54462,0.34841,0.59060,1.42474,0.47201,0.56327,1.30144,0.55062,0.60746,1.24844,0.51174,0.56191,1.24573,0.65568,0.55383,1.12805,0.76671,0.62604,1.12112,0.75239,0.58252,1.09235,0.82576,0.78932,0.99299,0.09737,0.73966,0.98893,0.36957,0.58360,1.02520,0.14738,0.57142,1.02608,0.23864,0.72504,0.93423,0.02980,0.73337,0.71590,0.04081,0.69240,0.53553,0.07556,0.65056,0.27601,0.07081,0.65588,0.10203,0.09319,0.58638,0.04651,0.13112,0.87466,0.04979,0.17169,0.79141,0.04372,0.06866,0.67428,0.93085,0.40930,0.66571,0.64376,0.39667,0.65382,0.52968,0.36824,0.61380,0.34783,0.38989,0.62512,0.10139,0.36127,0.56201,0.04930,0.30813,0.85322,0.06035,0.35122,0.72982,0.03794,0.42018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,0.00000,0.72494,1.74460,0.11906,0.77421,1.82214,0.23043,0.69256,1.74632,0.30175,0.83332,1.73517,0.20008,0.63544,1.54901,0.19831,0.57329,1.18413,0.19111,0.56934,0.99978,0.19477,0.81759,1.05251,0.24345,0.81212,1.30075,0.22700,0.77053,1.49112,0.21784,0.54161,1.35675,0.24277,0.69020,1.54136,0.04291,0.65189,1.40728,-0.08133,0.63513,1.28177,-0.14751,0.66770,1.23355,-0.08882,0.68616,1.22610,-0.25435,0.71059,1.12431,-0.35060,0.77731,1.10760,-0.32024,0.76224,1.08495,-0.40063,0.64450,1.54462,0.34840,0.59058,1.42474,0.47201,0.56325,1.30145,0.55063,0.60746,1.24842,0.51173,0.56195,1.24576,0.65567,0.55389,1.12805,0.76673,0.62610,1.12116,0.75238,0.58259,1.09239,0.82577,0.78932,0.99300,0.09732,0.73962,0.98893,0.36951,0.58357,1.02519,0.14734,0.57138,1.02607,0.23861,0.72500,0.93424,0.02976,0.73335,0.71590,0.04079,0.69238,0.53551,0.07553,0.65057,0.27600,0.07080,0.65590,0.10203,0.09319,0.58637,0.04651,0.13114,0.87466,0.04982,0.17170,0.79140,0.04373,0.06866,0.67424,0.93090,0.40929,0.66566,0.64375,0.39666,0.65383,0.52967,0.36822,0.61378,0.34783,0.38987,0.62510,0.10141,0.36128,0.56203,0.04929,0.30815,0.85322,0.06036,0.35122,0.72978,0.03795,0.42019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
