TimeStamp,FrameNumber,LHEAD.PosX,LHEAD.PosY,LHEAD.PosZ,THEAD.PosX,THEAD.PosY,THEAD.PosZ,RHEAD.PosX,RHEAD.PosY,RHEAD.PosZ,FHEAD.PosX,FHEAD.PosY,FHEAD.PosZ,C7.PosX,C7.PosY,C7.PosZ,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,BBAC.PosX,BBAC.PosY,BBAC.PosZ,LSHO.PosX,LSHO.PosY,LSHO.PosZ,LDELT.PosX,LDELT.PosY,LDELT.PosZ,LLEE.PosX,LLEE.PosY,LLEE.PosZ,LMEE.PosX,LMEE.PosY,LMEE.PosZ,LFRM.PosX,LFRM.PosY,LFRM.PosZ,LMW.PosX,LMW.PosY,LMW.PosZ,LLW.PosX,LLW.PosY,LLW.PosZ,LFIN.PosX,LFIN.PosY,LFIN.PosZ,RSHO.PosX,RSHO.PosY,RSHO.PosZ,RDELT.PosX,RDELT.PosY,RDELT.PosZ,RLEE.PosX,RLEE.PosY,RLEE.PosZ,RMEE.PosX,RMEE.PosY,RMEE.PosZ,RFRM.PosX,RFRM.PosY,RFRM.PosZ,RMW.PosX,RMW.PosY,RMW.PosZ,RLW.PosX,RLW.PosY,RLW.PosZ,RFIN.PosX,RFIN.PosY,RFIN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1,0.48187,1.74749,0.69622,0.56849,1.84333,0.62666,0.67235,1.76524,0.70326,0.54223,1.75804,0.59223,0.58630,1.56625,0.80446,0.56950,1.24480,0.82275,0.58047,1.08586,0.83594,0.56659,1.09659,0.56106,0.57492,1.33155,0.58953,0.57966,1.47590,0.62640,0.69389,1.40127,0.86154,0.39726,1.55298,0.76112,0.27485,1.44272,0.75161,0.15696,1.30587,0.74583,0.21916,1.26027,0.73171,0.01778,1.18742,0.70547,-0.04412,1.11056,0.68846,-0.00915,1.10675,0.61246,-0.09360,1.05565,0.63292,0.75875,1.55574,0.73900,0.88931,1.43303,0.75156,1.01531,1.29995,0.72747,0.94481,1.25120,0.73377,1.09264,1.23720,0.71207,1.20666,1.11714,0.67129,1.16684,1.09495,0.59713,1.24900,1.07000,0.61153,0.44205,1.06274,0.64571,0.70390,1.06274,0.63727,0.52612,1.11304,0.82168,0.63220,1.11140,0.81873,0.39306,0.97186,0.74273,0.39648,0.79946,0.74339,0.42199,0.56586,0.74276,0.42910,0.24427,0.80744,0.43981,0.09703,0.81899,0.48689,0.05304,0.90061,0.48441,0.05391,0.60174,0.39290,0.03644,0.70156,0.76828,0.98129,0.71217,0.76491,0.69172,0.70844,0.74255,0.58534,0.71098,0.77651,0.40350,0.77906,0.74916,0.10175,0.81189,0.70708,0.05847,0.89622,0.70858,0.05282,0.58496,0.79758,0.03535,0.69335,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.01000,    2,0.48190,1.74749,0.69622,0.56855,1.84332,0.62671,0.67239,1.76525,0.70331,0.54230,1.75806,0.59221,0.58631,1.56626,0.80445,0.56952,1.24481,0.82276,0.58054,1.08587,0.83596,0.56658,1.09663,0.56103,0.57491,1.33155,0.58953,0.57966,1.47592,0.62634,0.69392,1.40128,0.86152,0.39730,1.55302,0.76111,0.27483,1.44276,0.75165,0.15694,1.30594,0.74589,0.21913,1.26034,0.73176,0.01778,1.18748,0.70554,-0.04421,1.11064,0.68849,-0.00917,1.10682,0.61247,-0.09367,1.05573,0.63292,0.75877,1.55576,0.73896,0.88935,1.43306,0.75150,1.01535,1.30001,0.72748,0.94468,1.25138,0.73420,1.09268,1.23724,0.71206,1.20671,1.11720,0.67131,1.16689,1.09498,0.59714,1.24905,1.07004,0.61148,0.44205,1.06273,0.64575,0.70388,1.06275,0.63727,0.52622,1.11304,0.82171,0.63218,1.11139,0.81876,0.39306,0.97188,0.74276,0.39646,0.79947,0.74347,0.42202,0.56588,0.74279,0.42911,0.24426,0.80745,0.43983,0.09703,0.81898,0.48686,0.05304,0.90058,0.48442,0.05394,0.60175,0.39287,0.03644,0.70156,0.76827,0.98130,0.71216,0.76489,0.69172,0.70841,0.74255,0.58534,0.71096,0.77649,0.40349,0.77903,0.74914,0.10173,0.81190,0.70708,0.05847,0.89623,0.70856,0.05282,0.58496,0.79759,0.03534,0.69335,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02000,    3,0.48196,1.74746,0.69625,0.56858,1.84335,0.62676,0.67244,1.76524,0.70330,0.54237,1.75808,0.59225,0.58631,1.56623,0.80444,0.56951,1.24483,0.82279,0.58049,1.08586,0.83599,0.56648,1.09664,0.56104,0.57488,1.33157,0.58955,0.57969,1.47593,0.62635,0.69394,1.40127,0.86149,0.39729,1.55308,0.76106,0.27489,1.44279,0.75169,0.15692,1.30599,0.74591,0.21909,1.26040,0.73181,0.01776,1.18758,0.70555,-0.04417,1.11070,0.68850,-0.00917,1.10690,0.61248,-0.09366,1.05579,0.63297,0.75875,1.55575,0.73900,0.88940,1.43312,0.75149,1.01538,1.30005,0.72745,0.94492,1.25127,0.73390,1.09275,1.23728,0.71204,1.20673,1.11727,0.67138,1.16696,1.09503,0.59718,1.24911,1.07008,0.61154,0.44202,1.06275,0.64580,0.70388,1.06275,0.63727,0.52618,1.11306,0.82175,0.63221,1.11138,0.81878,0.39305,0.97189,0.74284,0.39648,0.79944,0.74351,0.42201,0.56587,0.74284,0.42909,0.24426,0.80748,0.43982,0.09702,0.81898,0.48688,0.05303,0.90061,0.48440,0.05394,0.60175,0.39288,0.03643,0.70155,0.76825,0.98128,0.71217,0.76485,0.69171,0.70837,0.74253,0.58533,0.71094,0.77646,0.40347,0.77900,0.74916,0.10173,0.81189,0.70708,0.05848,0.89624,0.70860,0.05283,0.58499,0.79759,0.03535,0.69335,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03000,    4,0.48199,1.74748,0.69624,0.56866,1.84335,0.62678,0.67248,1.76523,0.70333,0.54245,1.75808,0.59227,0.58630,1.56628,0.80446,0.56952,1.24481,0.82280,0.58053,1.08587,0.83602,0.56642,1.09667,0.56103,0.57488,1.33157,0.58955,0.57968,1.47596,0.62630,0.69389,1.40128,0.86147,0.39733,1.55310,0.76104,0.27481,1.44284,0.75165,0.15696,1.30600,0.74594,0.21908,1.26044,0.73187,0.01771,1.18759,0.70559,-0.04421,1.11084,0.68861,-0.00924,1.10692,0.61255,-0.09369,1.05581,0.63304,0.75877,1.55576,0.73896,0.88938,1.43310,0.75144,1.01540,1.30006,0.72746,0.94495,1.25126,0.73382,1.09279,1.23731,0.71206,1.20675,1.11727,0.67144,1.16701,1.09503,0.59721,1.24916,1.07009,0.61161,0.44199,1.06274,0.64582,0.70384,1.06275,0.63730,0.52608,1.11302,0.82182,0.63226,1.11136,0.81882,0.39303,0.97185,0.74290,0.39647,0.79943,0.74358,0.42194,0.56588,0.74282,0.42911,0.24425,0.80752,0.43983,0.09701,0.81899,0.48688,0.05303,0.90061,0.48440,0.05393,0.60178,0.39290,0.03643,0.70154,0.76826,0.98129,0.71217,0.76483,0.69170,0.70834,0.74250,0.58531,0.71093,0.77648,0.40344,0.77897,0.74914,0.10171,0.81189,0.70709,0.05847,0.89624,0.70858,0.05280,0.58498,0.79757,0.03535,0.69334,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04000,    5,0.48206,1.74750,0.69622,0.56871,1.84335,0.62681,0.67257,1.76522,0.70333,0.54251,1.75813,0.59226,0.58633,1.56624,0.80443,0.56951,1.24485,0.82275,0.58055,1.08585,0.83608,0.56639,1.09662,0.56107,0.57490,1.33155,0.58959,0.57969,1.47593,0.62627,0.69391,1.40131,0.86144,0.39733,1.55318,0.76098,0.27485,1.44287,0.75165,0.15693,1.30608,0.74598,0.21905,1.26047,0.73190,0.01767,1.18769,0.70563,-0.04425,1.11085,0.68863,-0.00918,1.10698,0.61259,-0.09372,1.05585,0.63313,0.75880,1.55574,0.73893,0.88943,1.43313,0.75141,1.01543,1.30006,0.72746,0.94493,1.25127,0.73382,1.09283,1.23731,0.71209,1.20686,1.11727,0.67141,1.16707,1.09503,0.59723,1.24920,1.07007,0.61163,0.44197,1.06274,0.64590,0.70377,1.06271,0.63729,0.52628,1.11301,0.82183,0.63226,1.11136,0.81882,0.39302,0.97186,0.74299,0.39645,0.79943,0.74361,0.42198,0.56585,0.74287,0.42911,0.24426,0.80752,0.43982,0.09700,0.81898,0.48686,0.05300,0.90060,0.48437,0.05392,0.60177,0.39290,0.03642,0.70156,0.76827,0.98128,0.71214,0.76483,0.69170,0.70831,0.74247,0.58532,0.71089,0.77646,0.40348,0.77893,0.74917,0.10173,0.81190,0.70710,0.05848,0.89624,0.70858,0.05281,0.58498,0.79758,0.03534,0.69335,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.05000,    6,0.48210,1.74754,0.69622,0.56879,1.84337,0.62681,0.67261,1.76523,0.70335,0.54259,1.75816,0.59226,0.58625,1.56637,0.80450,0.56951,1.24489,0.82278,0.58058,1.08584,0.83607,0.56633,1.09664,0.56102,0.57487,1.33156,0.58960,0.57970,1.47595,0.62622,0.69399,1.40130,0.86142,0.39734,1.55325,0.76091,0.27489,1.44293,0.75163,0.15697,1.30613,0.74602,0.21905,1.26051,0.73195,0.01770,1.18772,0.70569,-0.04420,1.11094,0.68878,-0.00919,1.10701,0.61263,-0.09367,1.05585,0.63328,0.75885,1.55579,0.73883,0.88938,1.43310,0.75134,1.01543,1.30004,0.72746,0.94490,1.25128,0.73383,1.09282,1.23729,0.71215,1.20685,1.11727,0.67149,1.16712,1.09504,0.59724,1.24924,1.07011,0.61166,0.44197,1.06276,0.64590,0.70376,1.06273,0.63728,0.52615,1.11303,0.82191,0.63228,1.11135,0.81884,0.39299,0.97186,0.74303,0.39647,0.79944,0.74370,0.42194,0.56586,0.74290,0.42912,0.24423,0.80753,0.43981,0.09701,0.81897,0.48688,0.05303,0.90061,0.48441,0.05394,0.60178,0.39291,0.03642,0.70155,0.76823,0.98127,0.71213,0.76485,0.69170,0.70830,0.74247,0.58532,0.71088,0.77646,0.40347,0.77893,0.74917,0.10172,0.81189,0.70709,0.05847,0.89624,0.70860,0.05281,0.58499,0.79758,0.03536,0.69334,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.06000,    7,0.48215,1.74758,0.69619,0.56889,1.84339,0.62679,0.67264,1.76521,0.70337,0.54268,1.75820,0.59225,0.58640,1.56632,0.80434,0.56951,1.24494,0.82278,0.58059,1.08585,0.83616,0.56627,1.09663,0.56102,0.57486,1.33156,0.58964,0.57967,1.47596,0.62622,0.69399,1.40135,0.86142,0.39733,1.55333,0.76088,0.27491,1.44298,0.75164,0.15698,1.30619,0.74604,0.21907,1.26054,0.73196,0.01771,1.18781,0.70578,-0.04422,1.11098,0.68888,-0.00924,1.10703,0.61272,-0.09371,1.05590,0.63338,0.75887,1.55578,0.73879,0.88940,1.43305,0.75135,1.01540,1.30004,0.72749,0.94496,1.25132,0.73359,1.09282,1.23728,0.71218,1.20685,1.11729,0.67151,1.16716,1.09506,0.59727,1.24930,1.07009,0.61172,0.44189,1.06277,0.64598,0.70374,1.06274,0.63728,0.52620,1.11303,0.82196,0.63230,1.11136,0.81886,0.39298,0.97187,0.74311,0.39646,0.79943,0.74374,0.42191,0.56587,0.74291,0.42912,0.24423,0.80753,0.43984,0.09700,0.81899,0.48688,0.05303,0.90061,0.48439,0.05396,0.60176,0.39290,0.03643,0.70155,0.76821,0.98128,0.71212,0.76480,0.69170,0.70826,0.74247,0.58534,0.71084,0.77645,0.40346,0.77893,0.74917,0.10172,0.81189,0.70710,0.05849,0.89621,0.70856,0.05281,0.58499,0.79757,0.03533,0.69334,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.07000,    8,0.48220,1.74762,0.69618,0.56901,1.84340,0.62680,0.67270,1.76519,0.70336,0.54272,1.75823,0.59223,0.58646,1.56630,0.80429,0.56947,1.24499,0.82282,0.58060,1.08584,0.83618,0.56623,1.09659,0.56105,0.57485,1.33154,0.58965,0.57967,1.47595,0.62619,0.69402,1.40137,0.86139,0.39736,1.55337,0.76083,0.27481,1.44303,0.75158,0.15697,1.30624,0.74604,0.21906,1.26058,0.73195,0.01772,1.18782,0.70586,-0.04417,1.11102,0.68900,-0.00922,1.10705,0.61282,-0.09374,1.05589,0.63353,0.75888,1.55579,0.73877,0.88942,1.43304,0.75132,1.01544,1.30003,0.72750,0.94494,1.25128,0.73355,1.09282,1.23728,0.71221,1.20692,1.11727,0.67146,1.16714,1.09502,0.59728,1.24928,1.07006,0.61179,0.44182,1.06278,0.64603,0.70370,1.06273,0.63728,0.52642,1.11301,0.82194,0.63228,1.11137,0.81886,0.39298,0.97187,0.74317,0.39649,0.79942,0.74379,0.42197,0.56587,0.74296,0.42911,0.24425,0.80752,0.43983,0.09699,0.81898,0.48688,0.05302,0.90061,0.48439,0.05395,0.60177,0.39291,0.03643,0.70155,0.76820,0.98129,0.71209,0.76479,0.69170,0.70825,0.74246,0.58534,0.71087,0.77646,0.40347,0.77890,0.74919,0.10173,0.81189,0.70711,0.05848,0.89624,0.70858,0.05281,0.58498,0.79757,0.03536,0.69334,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.08000,    9,0.48221,1.74765,0.69611,0.56907,1.84342,0.62680,0.67277,1.76516,0.70335,0.54279,1.75824,0.59220,0.58642,1.56639,0.80434,0.56941,1.24504,0.82284,0.58062,1.08586,0.83620,0.56621,1.09659,0.56103,0.57482,1.33154,0.58959,0.57966,1.47596,0.62618,0.69397,1.40142,0.86137,0.39735,1.55342,0.76084,0.27493,1.44307,0.75161,0.15698,1.30627,0.74606,0.21908,1.26065,0.73199,0.01773,1.18787,0.70592,-0.04408,1.11102,0.68911,-0.00919,1.10704,0.61290,-0.09368,1.05584,0.63369,0.75889,1.55578,0.73874,0.88941,1.43304,0.75132,1.01545,1.30005,0.72750,0.94494,1.25132,0.73352,1.09284,1.23730,0.71221,1.20692,1.11727,0.67149,1.16716,1.09500,0.59729,1.24926,1.07005,0.61176,0.44177,1.06278,0.64607,0.70367,1.06274,0.63731,0.52612,1.11304,0.82205,0.63226,1.11137,0.81889,0.39301,0.97187,0.74325,0.39646,0.79944,0.74381,0.42193,0.56587,0.74299,0.42909,0.24425,0.80757,0.43981,0.09703,0.81898,0.48688,0.05303,0.90061,0.48440,0.05396,0.60174,0.39291,0.03644,0.70155,0.76820,0.98129,0.71209,0.76472,0.69174,0.70826,0.74244,0.58534,0.71087,0.77646,0.40349,0.77892,0.74916,0.10172,0.81190,0.70711,0.05847,0.89620,0.70859,0.05281,0.58497,0.79756,0.03535,0.69333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.09000,   10,0.48234,1.74769,0.69613,0.56915,1.84344,0.62679,0.67287,1.76515,0.70333,0.54288,1.75825,0.59214,0.58644,1.56640,0.80433,0.56941,1.24504,0.82288,0.58063,1.08588,0.83623,0.56618,1.09662,0.56099,0.57480,1.33154,0.58962,0.57967,1.47595,0.62614,0.69398,1.40145,0.86137,0.39737,1.55345,0.76084,0.27494,1.44312,0.75162,0.15700,1.30632,0.74611,0.21911,1.26073,0.73193,0.01776,1.18787,0.70598,-0.04408,1.11103,0.68920,-0.00922,1.10701,0.61305,-0.09366,1.05585,0.63380,0.75892,1.55579,0.73866,0.88938,1.43303,0.75135,1.01545,1.30006,0.72750,0.94499,1.25129,0.73380,1.09284,1.23728,0.71218,1.20692,1.11727,0.67149,1.16711,1.09496,0.59733,1.24925,1.07001,0.61174,0.44174,1.06276,0.64611,0.70366,1.06274,0.63730,0.52628,1.11302,0.82204,0.63227,1.11137,0.81889,0.39296,0.97189,0.74328,0.39670,0.79935,0.74392,0.42194,0.56588,0.74299,0.42911,0.24423,0.80760,0.43983,0.09701,0.81898,0.48689,0.05304,0.90060,0.48439,0.05395,0.60177,0.39291,0.03644,0.70155,0.76816,0.98129,0.71211,0.76475,0.69172,0.70825,0.74240,0.58535,0.71087,0.77646,0.40349,0.77893,0.74917,0.10172,0.81190,0.70709,0.05847,0.89623,0.70857,0.05283,0.58498,0.79756,0.03534,0.69333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
