TimeStamp	FrameNumber	TreadmillSpeed	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	0.00000	0.62353	1.75139	0.11544	0.69396	1.84903	0.19861	0.62527	1.76812	0.30586	0.72984	1.76533	0.16952	0.52947	1.56907	0.22379	0.50643	1.24865	0.22695	0.48374	1.08425	0.22330	0.75485	1.10031	0.20079	0.73591	1.32879	0.20863	0.70465	1.47545	0.21273	0.47288	1.40656	0.34070	0.56457	1.55603	0.03745	0.56395	1.45102	-0.08606	0.56293	1.31803	-0.20865	0.58321	1.27132	-0.15075	0.58535	1.20533	-0.35425	0.59514	1.12968	-0.42019	0.67420	1.12490	-0.39423	0.64779	1.08250	-0.47987	0.59620	1.56447	0.38932	0.58113	1.45662	0.52889	0.60252	1.33431	0.66679	0.60094	1.28097	0.60145	0.61185	1.27998	0.74933	0.64209	1.17081	0.87634	0.71797	1.14273	0.84520	0.69725	1.12877	0.92867	0.66979	1.06498	0.07836	0.68876	1.06672	0.34257	0.49806	1.11330	0.17048	0.50339	1.11336	0.27481	0.57597	0.97192	0.03388	0.58264	0.79976	0.03925	0.59352	0.56733	0.06263	0.53093	0.24637	0.06975	0.51863	0.10128	0.08004	0.43556	0.05502	0.12822	0.73472	0.05903	0.12539	0.63392	0.03903	0.03482	0.61711	0.98701	0.40698	0.62111	0.69706	0.39919	0.61937	0.59039	0.37800	0.55445	0.40571	0.40988	0.52595	0.10469	0.37839	0.44203	0.06143	0.33705	0.75347	0.06090	0.32766	0.64816	0.04081	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	0.00000	0.62357	1.75140	0.11544	0.69402	1.84903	0.19864	0.62533	1.76810	0.30589	0.72993	1.76534	0.16955	0.52948	1.56907	0.22377	0.50646	1.24866	0.22696	0.48373	1.08425	0.22332	0.75488	1.10031	0.20079	0.73592	1.32878	0.20862	0.70467	1.47544	0.21271	0.47287	1.40657	0.34071	0.56459	1.55604	0.03745	0.56399	1.45103	-0.08606	0.56292	1.31807	-0.20866	0.58320	1.27133	-0.15075	0.58535	1.20533	-0.35424	0.59513	1.12970	-0.42020	0.67419	1.12490	-0.39426	0.64773	1.08249	-0.47986	0.59623	1.56447	0.38931	0.58115	1.45659	0.52889	0.60253	1.33431	0.66676	0.60097	1.28096	0.60142	0.61184	1.27998	0.74931	0.64209	1.17080	0.87634	0.71798	1.14273	0.84521	0.69724	1.12875	0.92866	0.66980	1.06496	0.07836	0.68877	1.06670	0.34256	0.49806	1.11330	0.17048	0.50343	1.11336	0.27482	0.57598	0.97190	0.03389	0.58267	0.79977	0.03929	0.59353	0.56733	0.06265	0.53093	0.24637	0.06975	0.51864	0.10127	0.08003	0.43556	0.05502	0.12824	0.73471	0.05901	0.12538	0.63393	0.03903	0.03482	0.61711	0.98701	0.40697	0.62106	0.69705	0.39918	0.61935	0.59040	0.37799	0.55446	0.40571	0.40988	0.52595	0.10469	0.37841	0.44203	0.06142	0.33707	0.75348	0.06091	0.32766	0.64816	0.04082	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	0.00000	0.62362	1.75141	0.11547	0.69406	1.84902	0.19868	0.62537	1.76807	0.30592	0.72995	1.76533	0.16956	0.52950	1.56907	0.22378	0.50645	1.24866	0.22693	0.48375	1.08427	0.22331	0.75488	1.10029	0.20080	0.73596	1.32877	0.20861	0.70469	1.47544	0.21272	0.47289	1.40657	0.34068	0.56463	1.55603	0.03743	0.56400	1.45104	-0.08609	0.56291	1.31808	-0.20868	0.58320	1.27132	-0.15076	0.58531	1.20534	-0.35426	0.59513	1.12971	-0.42020	0.67417	1.12491	-0.39428	0.64770	1.08250	-0.47991	0.59625	1.56446	0.38929	0.58118	1.45657	0.52888	0.60250	1.33430	0.66677	0.60100	1.28096	0.60143	0.61183	1.27998	0.74932	0.64206	1.17076	0.87632	0.71793	1.14269	0.84519	0.69721	1.12871	0.92864	0.66982	1.06495	0.07833	0.68876	1.06669	0.34256	0.49807	1.11331	0.17048	0.50345	1.11337	0.27480	0.57596	0.97192	0.03390	0.58255	0.79982	0.03928	0.59351	0.56735	0.06264	0.53094	0.24635	0.06974	0.51863	0.10127	0.08006	0.43555	0.05503	0.12824	0.73472	0.05902	0.12539	0.63393	0.03904	0.03481	0.61709	0.98701	0.40696	0.62106	0.69706	0.39920	0.61932	0.59038	0.37798	0.55443	0.40570	0.40988	0.52595	0.10469	0.37842	0.44202	0.06139	0.33707	0.75347	0.06091	0.32768	0.64816	0.04081	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	0.00000	0.62364	1.75144	0.11548	0.69411	1.84902	0.19872	0.62537	1.76807	0.30591	0.73000	1.76534	0.16957	0.52953	1.56907	0.22375	0.50647	1.24866	0.22693	0.48377	1.08427	0.22331	0.75489	1.10029	0.20081	0.73597	1.32875	0.20860	0.70473	1.47543	0.21269	0.47290	1.40657	0.34068	0.56468	1.55605	0.03742	0.56404	1.45102	-0.08611	0.56294	1.31807	-0.20869	0.58319	1.27132	-0.15080	0.58530	1.20534	-0.35428	0.59509	1.12972	-0.42023	0.67410	1.12489	-0.39432	0.64767	1.08252	-0.47995	0.59628	1.56446	0.38928	0.58113	1.45655	0.52886	0.60248	1.33427	0.66673	0.60098	1.28094	0.60140	0.61181	1.27994	0.74929	0.64203	1.17074	0.87630	0.71790	1.14267	0.84517	0.69716	1.12869	0.92863	0.66983	1.06496	0.07834	0.68877	1.06668	0.34257	0.49808	1.11331	0.17047	0.50345	1.11339	0.27478	0.57601	0.97194	0.03389	0.58257	0.79981	0.03929	0.59347	0.56734	0.06263	0.53094	0.24637	0.06975	0.51862	0.10128	0.08006	0.43555	0.05504	0.12825	0.73470	0.05900	0.12539	0.63392	0.03902	0.03481	0.61709	0.98701	0.40696	0.62103	0.69706	0.39917	0.61931	0.59040	0.37799	0.55441	0.40570	0.40986	0.52594	0.10469	0.37840	0.44203	0.06138	0.33705	0.75345	0.06091	0.32767	0.64817	0.04081	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	0.00000	0.62371	1.75147	0.11548	0.69416	1.84903	0.19876	0.62541	1.76806	0.30593	0.73004	1.76535	0.16961	0.52954	1.56907	0.22373	0.50648	1.24865	0.22693	0.48379	1.08430	0.22331	0.75491	1.10030	0.20082	0.73599	1.32875	0.20861	0.70476	1.47544	0.21270	0.47291	1.40658	0.34069	0.56471	1.55602	0.03742	0.56407	1.45102	-0.08613	0.56294	1.31807	-0.20872	0.58321	1.27131	-0.15081	0.58528	1.20534	-0.35429	0.59506	1.12974	-0.42024	0.67407	1.12491	-0.39434	0.64764	1.08253	-0.47999	0.59628	1.56447	0.38928	0.58112	1.45655	0.52885	0.60247	1.33423	0.66672	0.60099	1.28092	0.60138	0.61178	1.27990	0.74926	0.64201	1.17070	0.87627	0.71790	1.14265	0.84517	0.69714	1.12869	0.92862	0.66985	1.06495	0.07835	0.68876	1.06669	0.34257	0.49814	1.11330	0.17047	0.50345	1.11342	0.27478	0.57602	0.97195	0.03388	0.58255	0.79979	0.03928	0.59345	0.56735	0.06264	0.53093	0.24636	0.06976	0.51862	0.10127	0.08005	0.43554	0.05503	0.12825	0.73472	0.05903	0.12539	0.63393	0.03903	0.03481	0.61708	0.98699	0.40696	0.62097	0.69705	0.39919	0.61927	0.59042	0.37796	0.55439	0.40570	0.40987	0.52595	0.10469	0.37842	0.44204	0.06138	0.33706	0.75346	0.06092	0.32767	0.64816	0.04081	0.41983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	0.00000	0.62377	1.75146	0.11549	0.69418	1.84902	0.19879	0.62541	1.76806	0.30594	0.73006	1.76535	0.16963	0.52957	1.56907	0.22373	0.50652	1.24863	0.22693	0.48379	1.08432	0.22329	0.75491	1.10028	0.20082	0.73599	1.32876	0.20862	0.70476	1.47543	0.21270	0.47295	1.40658	0.34068	0.56473	1.55600	0.03740	0.56405	1.45100	-0.08615	0.56294	1.31804	-0.20872	0.58320	1.27130	-0.15083	0.58526	1.20535	-0.35431	0.59503	1.12976	-0.42029	0.67407	1.12493	-0.39441	0.64760	1.08256	-0.48003	0.59630	1.56446	0.38927	0.58112	1.45655	0.52884	0.60248	1.33419	0.66670	0.60103	1.28089	0.60135	0.61174	1.27985	0.74923	0.64198	1.17064	0.87626	0.71788	1.14263	0.84516	0.69708	1.12865	0.92859	0.66989	1.06496	0.07834	0.68879	1.06669	0.34258	0.49813	1.11332	0.17045	0.50347	1.11341	0.27478	0.57603	0.97194	0.03387	0.58255	0.79982	0.03928	0.59340	0.56735	0.06265	0.53093	0.24636	0.06976	0.51862	0.10127	0.08005	0.43554	0.05502	0.12824	0.73472	0.05904	0.12539	0.63393	0.03903	0.03482	0.61707	0.98700	0.40695	0.62097	0.69705	0.39919	0.61926	0.59042	0.37798	0.55439	0.40572	0.40987	0.52595	0.10469	0.37842	0.44201	0.06138	0.33707	0.75345	0.06092	0.32768	0.64816	0.04081	0.41983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	0.00000	0.62381	1.75145	0.11547	0.69421	1.84902	0.19879	0.62547	1.76807	0.30594	0.73012	1.76535	0.16964	0.52959	1.56907	0.22373	0.50655	1.24865	0.22694	0.48378	1.08432	0.22327	0.75494	1.10027	0.20082	0.73603	1.32874	0.20861	0.70480	1.47544	0.21268	0.47298	1.40658	0.34064	0.56473	1.55597	0.03739	0.56402	1.45099	-0.08614	0.56296	1.31803	-0.20874	0.58323	1.27128	-0.15087	0.58526	1.20535	-0.35436	0.59501	1.12976	-0.42034	0.67402	1.12495	-0.39446	0.64761	1.08259	-0.48009	0.59632	1.56447	0.38926	0.58111	1.45655	0.52883	0.60247	1.33417	0.66666	0.60100	1.28089	0.60132	0.61172	1.27982	0.74920	0.64195	1.17062	0.87622	0.71785	1.14261	0.84516	0.69702	1.12860	0.92858	0.66991	1.06496	0.07834	0.68877	1.06666	0.34258	0.49815	1.11331	0.17045	0.50347	1.11342	0.27477	0.57603	0.97193	0.03386	0.58260	0.79979	0.03925	0.59339	0.56734	0.06265	0.53091	0.24636	0.06976	0.51861	0.10127	0.08006	0.43553	0.05503	0.12825	0.73471	0.05901	0.12539	0.63393	0.03903	0.03481	0.61709	0.98698	0.40695	0.62094	0.69705	0.39919	0.61922	0.59040	0.37799	0.55439	0.40569	0.40985	0.52594	0.10469	0.37841	0.44205	0.06136	0.33705	0.75345	0.06093	0.32768	0.64817	0.04082	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	0.00000	0.62386	1.75144	0.11547	0.69427	1.84901	0.19878	0.62549	1.76807	0.30594	0.73016	1.76535	0.16965	0.52961	1.56907	0.22373	0.50659	1.24865	0.22691	0.48380	1.08432	0.22326	0.75497	1.10027	0.20083	0.73605	1.32875	0.20862	0.70481	1.47543	0.21267	0.47302	1.40657	0.34065	0.56474	1.55597	0.03737	0.56404	1.45098	-0.08614	0.56295	1.31803	-0.20876	0.58321	1.27127	-0.15090	0.58526	1.20536	-0.35437	0.59497	1.12978	-0.42038	0.67400	1.12496	-0.39450	0.64756	1.08264	-0.48014	0.59635	1.56445	0.38926	0.58113	1.45656	0.52882	0.60247	1.33417	0.66666	0.60100	1.28086	0.60130	0.61172	1.27983	0.74921	0.64190	1.17063	0.87622	0.71779	1.14255	0.84515	0.69698	1.12857	0.92856	0.66993	1.06495	0.07835	0.68880	1.06665	0.34255	0.49816	1.11332	0.17043	0.50348	1.11342	0.27476	0.57606	0.97194	0.03386	0.58260	0.79979	0.03924	0.59339	0.56733	0.06265	0.53088	0.24636	0.06977	0.51860	0.10127	0.08005	0.43554	0.05503	0.12825	0.73471	0.05901	0.12539	0.63392	0.03903	0.03480	0.61708	0.98699	0.40696	0.62094	0.69704	0.39918	0.61922	0.59039	0.37798	0.55439	0.40568	0.40986	0.52594	0.10469	0.37841	0.44201	0.06138	0.33707	0.75346	0.06092	0.32767	0.64816	0.04081	0.41983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	0.00000	0.62393	1.75144	0.11547	0.69430	1.84901	0.19875	0.62551	1.76806	0.30593	0.73020	1.76532	0.16963	0.52962	1.56907	0.22372	0.50659	1.24864	0.22691	0.48383	1.08431	0.22325	0.75498	1.10025	0.20083	0.73607	1.32875	0.20860	0.70483	1.47544	0.21265	0.47303	1.40657	0.34064	0.56474	1.55594	0.03738	0.56400	1.45096	-0.08615	0.56293	1.31801	-0.20878	0.58320	1.27127	-0.15092	0.58525	1.20536	-0.35439	0.59497	1.12978	-0.42041	0.67400	1.12500	-0.39453	0.64754	1.08266	-0.48018	0.59637	1.56445	0.38926	0.58118	1.45656	0.52880	0.60248	1.33417	0.66664	0.60105	1.28085	0.60132	0.61171	1.27985	0.74920	0.64187	1.17063	0.87622	0.71773	1.14252	0.84511	0.69695	1.12852	0.92855	0.66994	1.06493	0.07834	0.68883	1.06664	0.34256	0.49819	1.11331	0.17041	0.50350	1.11341	0.27472	0.57608	0.97194	0.03383	0.58259	0.79978	0.03925	0.59339	0.56732	0.06265	0.53087	0.24637	0.06976	0.51860	0.10127	0.08005	0.43555	0.05503	0.12823	0.73471	0.05903	0.12538	0.63393	0.03900	0.03481	0.61708	0.98699	0.40696	0.62092	0.69703	0.39918	0.61922	0.59040	0.37799	0.55439	0.40569	0.40987	0.52594	0.10468	0.37840	0.44202	0.06137	0.33708	0.75345	0.06092	0.32767	0.64816	0.04080	0.41983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	0.00000	0.62394	1.75143	0.11544	0.69435	1.84900	0.19877	0.62553	1.76808	0.30592	0.73020	1.76531	0.16962	0.52962	1.56907	0.22372	0.50663	1.24864	0.22690	0.48383	1.08431	0.22325	0.75501	1.10024	0.20079	0.73609	1.32875	0.20859	0.70486	1.47542	0.21265	0.47306	1.40656	0.34061	0.56477	1.55593	0.03736	0.56401	1.45098	-0.08616	0.56292	1.31802	-0.20878	0.58321	1.27127	-0.15093	0.58521	1.20540	-0.35442	0.59495	1.12981	-0.42042	0.67394	1.12502	-0.39455	0.64752	1.08268	-0.48021	0.59641	1.56447	0.38925	0.58118	1.45655	0.52880	0.60247	1.33421	0.66663	0.60105	1.28088	0.60129	0.61171	1.27986	0.74918	0.64184	1.17063	0.87619	0.71775	1.14252	0.84512	0.69690	1.12848	0.92854	0.66993	1.06494	0.07832	0.68883	1.06665	0.34256	0.49822	1.11331	0.17040	0.50352	1.11341	0.27472	0.57608	0.97194	0.03383	0.58257	0.79979	0.03921	0.59338	0.56733	0.06264	0.53090	0.24635	0.06975	0.51861	0.10126	0.08005	0.43553	0.05501	0.12823	0.73471	0.05904	0.12539	0.63394	0.03903	0.03481	0.61708	0.98700	0.40694	0.62093	0.69706	0.39920	0.61922	0.59040	0.37796	0.55438	0.40570	0.40985	0.52595	0.10468	0.37840	0.44203	0.06136	0.33705	0.75345	0.06092	0.32766	0.64815	0.04081	0.41982	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
