TimeStamp	FrameNumber	TreadmillSpeed	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	0.00000	0.60181	1.75139	0.13690	0.66248	1.84903	0.22743	0.58221	1.76812	0.32632	0.70140	1.76533	0.20255	0.49620	1.56907	0.23403	0.47296	1.24865	0.23458	0.45081	1.08425	0.22842	0.72274	1.10031	0.23642	0.70304	1.32879	0.24209	0.67152	1.47545	0.24267	0.42686	1.40656	0.34386	0.55197	1.55603	0.05279	0.56519	1.45102	-0.07000	0.57791	1.31803	-0.19194	0.59157	1.27132	-0.13213	0.61650	1.20533	-0.33411	0.63362	1.12968	-0.39853	0.70928	1.12490	-0.36388	0.69263	1.08250	-0.45194	0.54396	1.56447	0.40599	0.51334	1.45662	0.54300	0.51915	1.33431	0.68242	0.52491	1.28097	0.61732	0.51917	1.27998	0.76549	0.53499	1.17081	0.89509	0.61388	1.14273	0.87265	0.58394	1.12877	0.95326	0.65194	1.06498	0.10524	0.64118	1.06672	0.36991	0.47096	1.11330	0.17753	0.46457	1.11336	0.28180	0.56370	0.97192	0.05053	0.56972	0.79976	0.05660	0.57790	0.56733	0.08106	0.51491	0.24637	0.08112	0.50154	0.10128	0.08997	0.41359	0.05502	0.12854	0.71119	0.05903	0.15924	0.62117	0.03903	0.05795	0.56276	0.98701	0.42589	0.56761	0.69706	0.41859	0.56825	0.59039	0.39734	0.50017	0.40571	0.42175	0.47538	0.10469	0.38726	0.39662	0.06143	0.33678	0.70715	0.06090	0.36235	0.59218	0.04081	0.44212	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	0.00000	0.60185	1.75140	0.13690	0.66253	1.84903	0.22747	0.58226	1.76810	0.32635	0.70148	1.76534	0.20259	0.49621	1.56907	0.23401	0.47299	1.24866	0.23460	0.45080	1.08425	0.22843	0.72277	1.10031	0.23643	0.70306	1.32878	0.24208	0.67154	1.47544	0.24265	0.42685	1.40657	0.34387	0.55198	1.55604	0.05280	0.56522	1.45103	-0.07000	0.57791	1.31807	-0.19195	0.59157	1.27133	-0.13214	0.61650	1.20533	-0.33410	0.63361	1.12970	-0.39855	0.70928	1.12490	-0.36391	0.69258	1.08249	-0.45194	0.54400	1.56447	0.40599	0.51337	1.45659	0.54300	0.51916	1.33431	0.68240	0.52494	1.28096	0.61729	0.51917	1.27998	0.76547	0.53498	1.17080	0.89509	0.61389	1.14273	0.87265	0.58392	1.12875	0.95326	0.65195	1.06496	0.10523	0.64119	1.06670	0.36990	0.47096	1.11330	0.17753	0.46461	1.11336	0.28181	0.56370	0.97190	0.05053	0.56974	0.79977	0.05665	0.57792	0.56733	0.08108	0.51491	0.24637	0.08112	0.50155	0.10127	0.08996	0.41359	0.05502	0.12855	0.71118	0.05901	0.15924	0.62118	0.03903	0.05796	0.56276	0.98701	0.42587	0.56757	0.69705	0.41857	0.56824	0.59040	0.39732	0.50018	0.40571	0.42175	0.47538	0.10469	0.38727	0.39662	0.06142	0.33679	0.70717	0.06091	0.36235	0.59217	0.04082	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	0.00000	0.60190	1.75141	0.13694	0.66257	1.84902	0.22752	0.58230	1.76807	0.32638	0.70150	1.76533	0.20260	0.49623	1.56907	0.23402	0.47298	1.24866	0.23456	0.45083	1.08427	0.22843	0.72277	1.10029	0.23644	0.70310	1.32877	0.24208	0.67156	1.47544	0.24266	0.42688	1.40657	0.34384	0.55202	1.55603	0.05278	0.56524	1.45104	-0.07003	0.57790	1.31808	-0.19197	0.59157	1.27132	-0.13214	0.61647	1.20534	-0.33413	0.63362	1.12971	-0.39855	0.70926	1.12491	-0.36394	0.69255	1.08250	-0.45199	0.54401	1.56446	0.40597	0.51340	1.45657	0.54299	0.51913	1.33430	0.68240	0.52496	1.28096	0.61730	0.51915	1.27998	0.76548	0.53496	1.17076	0.89506	0.61384	1.14269	0.87263	0.58390	1.12871	0.95324	0.65197	1.06495	0.10521	0.64118	1.06669	0.36990	0.47097	1.11331	0.17753	0.46463	1.11337	0.28180	0.56368	0.97192	0.05054	0.56963	0.79982	0.05663	0.57790	0.56735	0.08107	0.51493	0.24635	0.08112	0.50154	0.10127	0.08999	0.41359	0.05503	0.12855	0.71119	0.05902	0.15925	0.62118	0.03904	0.05794	0.56274	0.98701	0.42586	0.56756	0.69706	0.41859	0.56821	0.59038	0.39731	0.50015	0.40570	0.42175	0.47537	0.10469	0.38729	0.39661	0.06139	0.33680	0.70715	0.06091	0.36236	0.59218	0.04081	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	0.00000	0.60192	1.75144	0.13695	0.66262	1.84902	0.22756	0.58230	1.76807	0.32638	0.70154	1.76534	0.20262	0.49627	1.56907	0.23399	0.47299	1.24866	0.23457	0.45085	1.08427	0.22842	0.72278	1.10029	0.23645	0.70311	1.32875	0.24208	0.67161	1.47543	0.24263	0.42689	1.40657	0.34384	0.55208	1.55605	0.05278	0.56529	1.45102	-0.07005	0.57793	1.31807	-0.19198	0.59157	1.27132	-0.13219	0.61646	1.20534	-0.33414	0.63358	1.12972	-0.39859	0.70919	1.12489	-0.36398	0.69252	1.08252	-0.45203	0.54405	1.56446	0.40596	0.51335	1.45655	0.54297	0.51912	1.33427	0.68236	0.52494	1.28094	0.61727	0.51914	1.27994	0.76544	0.53493	1.17074	0.89504	0.61381	1.14267	0.87261	0.58386	1.12869	0.95322	0.65198	1.06496	0.10522	0.64119	1.06668	0.36990	0.47099	1.11331	0.17753	0.46463	1.11339	0.28178	0.56373	0.97194	0.05054	0.56965	0.79981	0.05663	0.57786	0.56734	0.08105	0.51493	0.24637	0.08112	0.50152	0.10128	0.08998	0.41358	0.05504	0.12856	0.71116	0.05900	0.15924	0.62118	0.03902	0.05794	0.56274	0.98701	0.42586	0.56753	0.69706	0.41856	0.56820	0.59040	0.39733	0.50014	0.40570	0.42172	0.47537	0.10469	0.38727	0.39663	0.06138	0.33677	0.70713	0.06091	0.36235	0.59219	0.04081	0.44212	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	0.00000	0.60199	1.75147	0.13696	0.66266	1.84903	0.22760	0.58234	1.76806	0.32640	0.70159	1.76535	0.20266	0.49627	1.56907	0.23398	0.47301	1.24865	0.23457	0.45087	1.08430	0.22843	0.72279	1.10030	0.23646	0.70312	1.32875	0.24209	0.67163	1.47544	0.24265	0.42690	1.40658	0.34385	0.55211	1.55602	0.05278	0.56532	1.45102	-0.07007	0.57793	1.31807	-0.19201	0.59158	1.27131	-0.13219	0.61644	1.20534	-0.33416	0.63355	1.12974	-0.39860	0.70916	1.12491	-0.36401	0.69250	1.08253	-0.45208	0.54405	1.56447	0.40596	0.51334	1.45655	0.54295	0.51911	1.33423	0.68235	0.52496	1.28092	0.61725	0.51911	1.27990	0.76541	0.53492	1.17070	0.89501	0.61381	1.14265	0.87261	0.58383	1.12869	0.95321	0.65200	1.06495	0.10524	0.64118	1.06669	0.36991	0.47104	1.11330	0.17753	0.46463	1.11342	0.28178	0.56374	0.97195	0.05053	0.56962	0.79979	0.05663	0.57784	0.56735	0.08106	0.51492	0.24636	0.08113	0.50153	0.10127	0.08997	0.41357	0.05503	0.12856	0.71119	0.05903	0.15924	0.62119	0.03903	0.05794	0.56274	0.98699	0.42586	0.56747	0.69705	0.41857	0.56816	0.59042	0.39729	0.50012	0.40570	0.42173	0.47538	0.10469	0.38729	0.39663	0.06138	0.33679	0.70714	0.06092	0.36235	0.59218	0.04081	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	0.00000	0.60205	1.75146	0.13698	0.66268	1.84902	0.22764	0.58234	1.76806	0.32641	0.70160	1.76535	0.20269	0.49631	1.56907	0.23398	0.47304	1.24863	0.23457	0.45087	1.08432	0.22841	0.72279	1.10028	0.23647	0.70313	1.32876	0.24209	0.67164	1.47543	0.24265	0.42694	1.40658	0.34385	0.55213	1.55600	0.05276	0.56529	1.45100	-0.07008	0.57793	1.31804	-0.19201	0.59157	1.27130	-0.13221	0.61642	1.20535	-0.33418	0.63353	1.12976	-0.39865	0.70917	1.12493	-0.36408	0.69246	1.08256	-0.45212	0.54407	1.56446	0.40596	0.51334	1.45655	0.54294	0.51912	1.33419	0.68233	0.52500	1.28089	0.61723	0.51907	1.27985	0.76538	0.53489	1.17064	0.89499	0.61380	1.14263	0.87259	0.58378	1.12865	0.95317	0.65204	1.06496	0.10523	0.64121	1.06669	0.36992	0.47103	1.11332	0.17751	0.46465	1.11341	0.28178	0.56375	0.97194	0.05052	0.56963	0.79982	0.05663	0.57779	0.56735	0.08107	0.51492	0.24636	0.08113	0.50153	0.10127	0.08998	0.41357	0.05502	0.12856	0.71119	0.05904	0.15925	0.62118	0.03903	0.05795	0.56273	0.98700	0.42585	0.56747	0.69705	0.41857	0.56815	0.59042	0.39731	0.50011	0.40572	0.42172	0.47537	0.10469	0.38729	0.39660	0.06138	0.33679	0.70713	0.06092	0.36236	0.59218	0.04081	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	0.00000	0.60209	1.75145	0.13696	0.66271	1.84902	0.22764	0.58239	1.76807	0.32642	0.70165	1.76535	0.20270	0.49633	1.56907	0.23398	0.47308	1.24865	0.23458	0.45086	1.08432	0.22839	0.72283	1.10027	0.23647	0.70317	1.32874	0.24209	0.67168	1.47544	0.24263	0.42697	1.40658	0.34381	0.55213	1.55597	0.05276	0.56527	1.45099	-0.07008	0.57795	1.31803	-0.19203	0.59161	1.27128	-0.13225	0.61643	1.20535	-0.33423	0.63352	1.12976	-0.39870	0.70913	1.12495	-0.36413	0.69248	1.08259	-0.45218	0.54409	1.56447	0.40594	0.51334	1.45655	0.54293	0.51911	1.33417	0.68229	0.52498	1.28089	0.61719	0.51905	1.27982	0.76534	0.53486	1.17062	0.89495	0.61377	1.14261	0.87259	0.58372	1.12860	0.95315	0.65206	1.06496	0.10523	0.64119	1.06666	0.36992	0.47106	1.11331	0.17751	0.46465	1.11342	0.28177	0.56376	0.97193	0.05051	0.56967	0.79979	0.05660	0.57778	0.56734	0.08106	0.51489	0.24636	0.08113	0.50152	0.10127	0.08999	0.41356	0.05503	0.12856	0.71117	0.05901	0.15925	0.62119	0.03903	0.05795	0.56275	0.98698	0.42585	0.56744	0.69705	0.41857	0.56811	0.59040	0.39731	0.50012	0.40569	0.42171	0.47537	0.10469	0.38728	0.39665	0.06136	0.33678	0.70713	0.06093	0.36236	0.59219	0.04082	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	0.00000	0.60213	1.75144	0.13696	0.66276	1.84901	0.22764	0.58241	1.76807	0.32642	0.70170	1.76535	0.20271	0.49635	1.56907	0.23398	0.47312	1.24865	0.23456	0.45088	1.08432	0.22839	0.72286	1.10027	0.23648	0.70319	1.32875	0.24210	0.67169	1.47543	0.24262	0.42701	1.40657	0.34382	0.55214	1.55597	0.05274	0.56529	1.45098	-0.07008	0.57794	1.31803	-0.19205	0.59159	1.27127	-0.13228	0.61643	1.20536	-0.33424	0.63348	1.12978	-0.39874	0.70911	1.12496	-0.36417	0.69243	1.08264	-0.45224	0.54412	1.56445	0.40595	0.51335	1.45656	0.54293	0.51911	1.33417	0.68229	0.52498	1.28086	0.61717	0.51906	1.27983	0.76535	0.53481	1.17063	0.89495	0.61370	1.14255	0.87257	0.58369	1.12857	0.95313	0.65208	1.06495	0.10524	0.64122	1.06665	0.36990	0.47107	1.11332	0.17750	0.46467	1.11342	0.28176	0.56378	0.97194	0.05051	0.56968	0.79979	0.05659	0.57778	0.56733	0.08107	0.51487	0.24636	0.08113	0.50151	0.10127	0.08998	0.41357	0.05503	0.12856	0.71118	0.05901	0.15925	0.62118	0.03903	0.05793	0.56274	0.98699	0.42586	0.56744	0.69704	0.41857	0.56811	0.59039	0.39731	0.50011	0.40568	0.42172	0.47537	0.10469	0.38728	0.39660	0.06138	0.33679	0.70714	0.06092	0.36235	0.59218	0.04081	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	0.00000	0.60220	1.75144	0.13697	0.66280	1.84901	0.22762	0.58243	1.76806	0.32642	0.70174	1.76532	0.20271	0.49637	1.56907	0.23397	0.47312	1.24864	0.23456	0.45091	1.08431	0.22838	0.72286	1.10025	0.23648	0.70320	1.32875	0.24209	0.67170	1.47544	0.24261	0.42703	1.40657	0.34382	0.55214	1.55594	0.05274	0.56525	1.45096	-0.07009	0.57792	1.31801	-0.19207	0.59158	1.27127	-0.13230	0.61642	1.20536	-0.33426	0.63348	1.12978	-0.39878	0.70911	1.12500	-0.36421	0.69241	1.08266	-0.45228	0.54414	1.56445	0.40595	0.51340	1.45656	0.54291	0.51912	1.33417	0.68227	0.52502	1.28085	0.61719	0.51904	1.27985	0.76535	0.53478	1.17063	0.89494	0.61365	1.14252	0.87253	0.58365	1.12852	0.95311	0.65209	1.06493	0.10524	0.64125	1.06664	0.36990	0.47110	1.11331	0.17748	0.46469	1.11341	0.28173	0.56380	0.97194	0.05049	0.56967	0.79978	0.05660	0.57778	0.56732	0.08107	0.51485	0.24637	0.08113	0.50151	0.10127	0.08998	0.41358	0.05503	0.12854	0.71117	0.05903	0.15924	0.62118	0.03900	0.05795	0.56274	0.98699	0.42586	0.56742	0.69703	0.41856	0.56811	0.59040	0.39731	0.50012	0.40569	0.42173	0.47537	0.10468	0.38727	0.39661	0.06137	0.33680	0.70714	0.06092	0.36236	0.59218	0.04080	0.44213	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	0.00000	0.60222	1.75143	0.13694	0.66285	1.84900	0.22764	0.58246	1.76808	0.32641	0.70174	1.76531	0.20270	0.49636	1.56907	0.23397	0.47316	1.24864	0.23456	0.45091	1.08431	0.22837	0.72290	1.10024	0.23644	0.70323	1.32875	0.24208	0.67174	1.47542	0.24261	0.42706	1.40656	0.34379	0.55217	1.55593	0.05272	0.56526	1.45098	-0.07010	0.57792	1.31802	-0.19207	0.59160	1.27127	-0.13231	0.61639	1.20540	-0.33429	0.63347	1.12981	-0.39879	0.70905	1.12502	-0.36423	0.69240	1.08268	-0.45231	0.54418	1.56447	0.40595	0.51341	1.45655	0.54291	0.51912	1.33421	0.68226	0.52503	1.28088	0.61717	0.51905	1.27986	0.76532	0.53475	1.17063	0.89491	0.61367	1.14252	0.87254	0.58360	1.12848	0.95310	0.65208	1.06494	0.10521	0.64125	1.06665	0.36991	0.47114	1.11331	0.17747	0.46471	1.11341	0.28173	0.56380	0.97194	0.05048	0.56965	0.79979	0.05656	0.57777	0.56733	0.08106	0.51489	0.24635	0.08112	0.50152	0.10126	0.08997	0.41357	0.05501	0.12854	0.71117	0.05904	0.15925	0.62119	0.03903	0.05794	0.56274	0.98700	0.42584	0.56744	0.69706	0.41858	0.56811	0.59040	0.39728	0.50011	0.40570	0.42171	0.47538	0.10468	0.38726	0.39662	0.06136	0.33677	0.70713	0.06092	0.36234	0.59217	0.04081	0.44212	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
