TimeStamp	FrameNumber	TreadmillSpeed	LHEAD.PosX	LHEAD.PosY	LHEAD.PosZ	THEAD.PosX	THEAD.PosY	THEAD.PosZ	RHEAD.PosX	RHEAD.PosY	RHEAD.PosZ	FHEAD.PosX	FHEAD.PosY	FHEAD.PosZ	C7.PosX	C7.PosY	C7.PosZ	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	BBAC.PosX	BBAC.PosY	BBAC.PosZ	LSHO.PosX	LSHO.PosY	LSHO.PosZ	LDELT.PosX	LDELT.PosY	LDELT.PosZ	LLEE.PosX	LLEE.PosY	LLEE.PosZ	LMEE.PosX	LMEE.PosY	LMEE.PosZ	LFRM.PosX	LFRM.PosY	LFRM.PosZ	LMW.PosX	LMW.PosY	LMW.PosZ	LLW.PosX	LLW.PosY	LLW.PosZ	LFIN.PosX	LFIN.PosY	LFIN.PosZ	RSHO.PosX	RSHO.PosY	RSHO.PosZ	RDELT.PosX	RDELT.PosY	RDELT.PosZ	RLEE.PosX	RLEE.PosY	RLEE.PosZ	RMEE.PosX	RMEE.PosY	RMEE.PosZ	RFRM.PosX	RFRM.PosY	RFRM.PosZ	RMW.PosX	RMW.PosY	RMW.PosZ	RLW.PosX	RLW.PosY	RLW.PosZ	RFIN.PosX	RFIN.PosY	RFIN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1	0.00000	0.72567	1.75139	0.15970	0.80030	1.84903	0.23913	0.73723	1.76812	0.34978	0.83464	1.76533	0.20823	0.63732	1.56907	0.27276	0.61448	1.24865	0.27709	0.59163	1.08425	0.27462	0.86122	1.10031	0.23817	0.84271	1.32879	0.24698	0.81170	1.47545	0.25269	0.58683	1.40656	0.39243	0.66278	1.55603	0.08485	0.65580	1.45102	-0.03846	0.64846	1.31803	-0.16083	0.67169	1.27132	-0.10406	0.66335	1.20533	-0.30739	0.66973	1.12968	-0.37375	0.75003	1.12490	-0.35190	0.71923	1.08250	-0.43606	0.71249	1.56447	0.43462	0.70463	1.45662	0.57479	0.73310	1.33431	0.71140	0.72816	1.28097	0.64623	0.74666	1.27998	0.79336	0.78341	1.17081	0.91864	0.85759	1.14273	0.88363	0.84120	1.12877	0.96805	0.76997	1.06498	0.12029	0.80252	1.06672	0.38317	0.60321	1.11330	0.22113	0.61391	1.11336	0.32505	0.67398	0.97192	0.08070	0.68092	0.79976	0.08571	0.69298	0.56733	0.10851	0.63084	0.24637	0.11885	0.61909	0.10128	0.12976	0.53861	0.05502	0.18215	0.83723	0.05903	0.16391	0.73190	0.03903	0.07865	0.73429	0.98701	0.45119	0.73788	0.69706	0.44320	0.73505	0.59039	0.42213	0.67186	0.40571	0.45731	0.64177	0.10469	0.42733	0.55584	0.06143	0.39037	0.86637	0.06090	0.36495	0.76596	0.04081	0.46241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.01000	    2	0.00000	0.72572	1.75140	0.15970	0.80036	1.84903	0.23916	0.73729	1.76810	0.34981	0.83473	1.76534	0.20826	0.63733	1.56907	0.27273	0.61451	1.24866	0.27710	0.59162	1.08425	0.27464	0.86125	1.10031	0.23817	0.84272	1.32878	0.24696	0.81172	1.47544	0.25266	0.58682	1.40657	0.39243	0.66280	1.55604	0.08486	0.65583	1.45103	-0.03846	0.64845	1.31807	-0.16085	0.67169	1.27133	-0.10406	0.66335	1.20533	-0.30738	0.66972	1.12970	-0.37376	0.75002	1.12490	-0.35193	0.71918	1.08249	-0.43606	0.71253	1.56447	0.43462	0.70466	1.45659	0.57479	0.73311	1.33431	0.71138	0.72818	1.28096	0.64620	0.74666	1.27998	0.79334	0.78341	1.17080	0.91863	0.85759	1.14273	0.88363	0.84118	1.12875	0.96804	0.76998	1.06496	0.12028	0.80253	1.06670	0.38316	0.60321	1.11330	0.22113	0.61394	1.11336	0.32505	0.67399	0.97190	0.08071	0.68095	0.79977	0.08575	0.69300	0.56733	0.10853	0.63085	0.24637	0.11885	0.61910	0.10127	0.12974	0.53861	0.05502	0.18217	0.83722	0.05901	0.16391	0.73191	0.03903	0.07866	0.73428	0.98701	0.45117	0.73783	0.69705	0.44319	0.73503	0.59040	0.42212	0.67187	0.40571	0.45731	0.64177	0.10469	0.42735	0.55583	0.06142	0.39038	0.86639	0.06091	0.36495	0.76595	0.04082	0.46241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.02000	    3	0.00000	0.72577	1.75141	0.15972	0.80040	1.84902	0.23920	0.73733	1.76807	0.34983	0.83474	1.76533	0.20827	0.63735	1.56907	0.27274	0.61450	1.24866	0.27707	0.59164	1.08427	0.27463	0.86125	1.10029	0.23818	0.84276	1.32877	0.24695	0.81174	1.47544	0.25267	0.58684	1.40657	0.39241	0.66284	1.55603	0.08483	0.65585	1.45104	-0.03849	0.64844	1.31808	-0.16086	0.67169	1.27132	-0.10407	0.66331	1.20534	-0.30741	0.66972	1.12971	-0.37376	0.74999	1.12491	-0.35195	0.71914	1.08250	-0.43610	0.71254	1.56446	0.43460	0.70468	1.45657	0.57478	0.73308	1.33430	0.71139	0.72821	1.28096	0.64621	0.74665	1.27998	0.79334	0.78338	1.17076	0.91861	0.85754	1.14269	0.88362	0.84115	1.12871	0.96803	0.76999	1.06495	0.12026	0.80253	1.06669	0.38316	0.60321	1.11331	0.22113	0.61397	1.11337	0.32503	0.67397	0.97192	0.08072	0.68083	0.79982	0.08575	0.69298	0.56735	0.10852	0.63086	0.24635	0.11884	0.61909	0.10127	0.12977	0.53861	0.05503	0.18217	0.83723	0.05902	0.16391	0.73191	0.03904	0.07864	0.73426	0.98701	0.45117	0.73783	0.69706	0.44321	0.73500	0.59038	0.42211	0.67183	0.40570	0.45732	0.64177	0.10469	0.42736	0.55583	0.06139	0.39039	0.86637	0.06091	0.36497	0.76596	0.04081	0.46241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.03000	    4	0.00000	0.72579	1.75144	0.15973	0.80045	1.84902	0.23923	0.73733	1.76807	0.34983	0.83479	1.76534	0.20828	0.63738	1.56907	0.27271	0.61451	1.24866	0.27708	0.59166	1.08427	0.27462	0.86126	1.10029	0.23819	0.84277	1.32875	0.24695	0.81178	1.47543	0.25264	0.58685	1.40657	0.39240	0.66289	1.55605	0.08482	0.65589	1.45102	-0.03852	0.64847	1.31807	-0.16088	0.67168	1.27132	-0.10411	0.66330	1.20534	-0.30742	0.66968	1.12972	-0.37379	0.74992	1.12489	-0.35198	0.71911	1.08252	-0.43614	0.71257	1.56446	0.43458	0.70463	1.45655	0.57476	0.73306	1.33427	0.71134	0.72819	1.28094	0.64618	0.74663	1.27994	0.79331	0.78335	1.17074	0.91860	0.85752	1.14267	0.88360	0.84111	1.12869	0.96802	0.77000	1.06496	0.12026	0.80253	1.06668	0.38316	0.60323	1.11331	0.22112	0.61396	1.11339	0.32502	0.67402	0.97194	0.08071	0.68085	0.79981	0.08576	0.69293	0.56734	0.10851	0.63086	0.24637	0.11884	0.61908	0.10128	0.12977	0.53860	0.05504	0.18217	0.83721	0.05900	0.16391	0.73190	0.03902	0.07864	0.73426	0.98701	0.45117	0.73780	0.69706	0.44318	0.73499	0.59040	0.42212	0.67182	0.40570	0.45729	0.64177	0.10469	0.42734	0.55584	0.06138	0.39037	0.86636	0.06091	0.36496	0.76597	0.04081	0.46241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.04000	    5	0.00000	0.72586	1.75147	0.15973	0.80050	1.84903	0.23927	0.73737	1.76806	0.34984	0.83484	1.76535	0.20831	0.63739	1.56907	0.27269	0.61453	1.24865	0.27707	0.59168	1.08430	0.27463	0.86128	1.10030	0.23820	0.84279	1.32875	0.24696	0.81181	1.47544	0.25265	0.58686	1.40658	0.39241	0.66292	1.55602	0.08481	0.65591	1.45102	-0.03854	0.64847	1.31807	-0.16090	0.67170	1.27131	-0.10412	0.66328	1.20534	-0.30744	0.66965	1.12974	-0.37380	0.74989	1.12491	-0.35201	0.71908	1.08253	-0.43618	0.71258	1.56447	0.43458	0.70462	1.45655	0.57475	0.73305	1.33423	0.71134	0.72821	1.28092	0.64616	0.74659	1.27990	0.79328	0.78333	1.17070	0.91857	0.85751	1.14265	0.88360	0.84108	1.12869	0.96801	0.77003	1.06495	0.12028	0.80252	1.06669	0.38317	0.60329	1.11330	0.22112	0.61397	1.11342	0.32501	0.67403	0.97195	0.08070	0.68082	0.79979	0.08575	0.69292	0.56735	0.10852	0.63085	0.24636	0.11885	0.61908	0.10127	0.12976	0.53860	0.05503	0.18217	0.83723	0.05903	0.16391	0.73191	0.03903	0.07864	0.73425	0.98699	0.45116	0.73774	0.69705	0.44320	0.73495	0.59042	0.42210	0.67180	0.40570	0.45730	0.64178	0.10469	0.42736	0.55584	0.06138	0.39038	0.86637	0.06092	0.36496	0.76596	0.04081	0.46242	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.05000	    6	0.00000	0.72592	1.75146	0.15974	0.80053	1.84902	0.23930	0.73737	1.76806	0.34985	0.83485	1.76535	0.20833	0.63743	1.56907	0.27269	0.61456	1.24863	0.27707	0.59168	1.08432	0.27461	0.86128	1.10028	0.23820	0.84279	1.32876	0.24696	0.81181	1.47543	0.25265	0.58690	1.40658	0.39240	0.66294	1.55600	0.08479	0.65589	1.45100	-0.03855	0.64846	1.31804	-0.16091	0.67168	1.27130	-0.10414	0.66325	1.20535	-0.30745	0.66962	1.12976	-0.37385	0.74989	1.12493	-0.35208	0.71904	1.08256	-0.43622	0.71259	1.56446	0.43457	0.70462	1.45655	0.57474	0.73305	1.33419	0.71131	0.72824	1.28089	0.64613	0.74655	1.27985	0.79326	0.78330	1.17064	0.91856	0.85750	1.14263	0.88359	0.84102	1.12865	0.96798	0.77006	1.06496	0.12027	0.80255	1.06669	0.38317	0.60327	1.11332	0.22110	0.61399	1.11341	0.32502	0.67403	0.97194	0.08069	0.68083	0.79982	0.08575	0.69287	0.56735	0.10854	0.63085	0.24636	0.11885	0.61909	0.10127	0.12977	0.53859	0.05502	0.18217	0.83724	0.05904	0.16391	0.73191	0.03903	0.07865	0.73425	0.98700	0.45116	0.73773	0.69705	0.44320	0.73494	0.59042	0.42212	0.67179	0.40572	0.45730	0.64177	0.10469	0.42736	0.55582	0.06138	0.39039	0.86636	0.06092	0.36497	0.76595	0.04081	0.46242	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.06000	    7	0.00000	0.72596	1.75145	0.15972	0.80056	1.84902	0.23930	0.73743	1.76807	0.34985	0.83491	1.76535	0.20834	0.63744	1.56907	0.27269	0.61460	1.24865	0.27708	0.59167	1.08432	0.27459	0.86131	1.10027	0.23820	0.84283	1.32874	0.24695	0.81185	1.47544	0.25262	0.58693	1.40658	0.39236	0.66294	1.55597	0.08479	0.65586	1.45099	-0.03854	0.64848	1.31803	-0.16093	0.67171	1.27128	-0.10418	0.66326	1.20535	-0.30751	0.66960	1.12976	-0.37390	0.74983	1.12495	-0.35212	0.71905	1.08259	-0.43628	0.71261	1.56447	0.43456	0.70461	1.45655	0.57473	0.73304	1.33417	0.71128	0.72821	1.28089	0.64609	0.74653	1.27982	0.79323	0.78326	1.17062	0.91852	0.85747	1.14261	0.88359	0.84096	1.12860	0.96797	0.77008	1.06496	0.12027	0.80253	1.06666	0.38318	0.60330	1.11331	0.22110	0.61398	1.11342	0.32500	0.67404	0.97193	0.08068	0.68087	0.79979	0.08572	0.69286	0.56734	0.10853	0.63082	0.24636	0.11885	0.61907	0.10127	0.12977	0.53859	0.05503	0.18218	0.83722	0.05901	0.16391	0.73191	0.03903	0.07865	0.73426	0.98698	0.45115	0.73771	0.69705	0.44320	0.73490	0.59040	0.42212	0.67180	0.40569	0.45729	0.64177	0.10469	0.42735	0.55586	0.06136	0.39037	0.86636	0.06093	0.36496	0.76597	0.04082	0.46241	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.07000	    8	0.00000	0.72601	1.75144	0.15971	0.80061	1.84901	0.23929	0.73745	1.76807	0.34985	0.83496	1.76535	0.20834	0.63746	1.56907	0.27268	0.61464	1.24865	0.27704	0.59169	1.08432	0.27458	0.86134	1.10027	0.23821	0.84285	1.32875	0.24696	0.81186	1.47543	0.25261	0.58697	1.40657	0.39237	0.66295	1.55597	0.08477	0.65588	1.45098	-0.03855	0.64847	1.31803	-0.16095	0.67169	1.27127	-0.10421	0.66325	1.20536	-0.30751	0.66955	1.12978	-0.37393	0.74981	1.12496	-0.35216	0.71899	1.08264	-0.43632	0.71264	1.56445	0.43456	0.70463	1.45656	0.57472	0.73304	1.33417	0.71127	0.72821	1.28086	0.64608	0.74653	1.27983	0.79324	0.78322	1.17063	0.91853	0.85740	1.14255	0.88359	0.84093	1.12857	0.96796	0.77011	1.06495	0.12027	0.80256	1.06665	0.38315	0.60331	1.11332	0.22108	0.61400	1.11342	0.32499	0.67407	0.97194	0.08067	0.68087	0.79979	0.08571	0.69286	0.56733	0.10854	0.63080	0.24636	0.11886	0.61907	0.10127	0.12977	0.53860	0.05503	0.18218	0.83722	0.05901	0.16391	0.73190	0.03903	0.07863	0.73425	0.98699	0.45116	0.73771	0.69704	0.44320	0.73490	0.59039	0.42212	0.67180	0.40568	0.45729	0.64177	0.10469	0.42735	0.55582	0.06138	0.39039	0.86636	0.06092	0.36496	0.76596	0.04081	0.46242	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.08000	    9	0.00000	0.72607	1.75144	0.15971	0.80065	1.84901	0.23926	0.73747	1.76806	0.34984	0.83500	1.76532	0.20833	0.63747	1.56907	0.27267	0.61464	1.24864	0.27705	0.59172	1.08431	0.27457	0.86135	1.10025	0.23820	0.84287	1.32875	0.24694	0.81187	1.47544	0.25260	0.58698	1.40657	0.39236	0.66294	1.55594	0.08477	0.65584	1.45096	-0.03856	0.64845	1.31801	-0.16097	0.67168	1.27127	-0.10423	0.66324	1.20536	-0.30753	0.66955	1.12978	-0.37397	0.74980	1.12500	-0.35219	0.71897	1.08266	-0.43637	0.71266	1.56445	0.43456	0.70467	1.45656	0.57469	0.73305	1.33417	0.71126	0.72825	1.28085	0.64609	0.74652	1.27985	0.79323	0.78319	1.17063	0.91852	0.85734	1.14252	0.88355	0.84089	1.12852	0.96795	0.77011	1.06493	0.12026	0.80259	1.06664	0.38315	0.60333	1.11331	0.22106	0.61401	1.11341	0.32496	0.67408	0.97194	0.08065	0.68086	0.79978	0.08572	0.69286	0.56732	0.10854	0.63079	0.24637	0.11886	0.61907	0.10127	0.12977	0.53860	0.05503	0.18216	0.83722	0.05903	0.16390	0.73191	0.03900	0.07865	0.73425	0.98699	0.45116	0.73769	0.69703	0.44320	0.73490	0.59040	0.42212	0.67180	0.40569	0.45730	0.64176	0.10468	0.42734	0.55583	0.06137	0.39040	0.86636	0.06092	0.36496	0.76596	0.04080	0.46242	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.09000	   10	0.00000	0.72609	1.75143	0.15968	0.80070	1.84900	0.23927	0.73749	1.76808	0.34983	0.83500	1.76531	0.20832	0.63747	1.56907	0.27267	0.61467	1.24864	0.27703	0.59172	1.08431	0.27456	0.86138	1.10024	0.23816	0.84289	1.32875	0.24693	0.81191	1.47542	0.25259	0.58701	1.40656	0.39232	0.66297	1.55593	0.08475	0.65585	1.45098	-0.03857	0.64844	1.31802	-0.16097	0.67169	1.27127	-0.10423	0.66321	1.20540	-0.30756	0.66953	1.12981	-0.37398	0.74975	1.12502	-0.35220	0.71895	1.08268	-0.43639	0.71270	1.56447	0.43455	0.70468	1.45655	0.57469	0.73304	1.33421	0.71125	0.72826	1.28088	0.64606	0.74652	1.27986	0.79321	0.78315	1.17063	0.91850	0.85736	1.14252	0.88356	0.84084	1.12848	0.96794	0.77010	1.06494	0.12024	0.80259	1.06665	0.38316	0.60337	1.11331	0.22104	0.61403	1.11341	0.32495	0.67408	0.97194	0.08064	0.68084	0.79979	0.08568	0.69285	0.56733	0.10853	0.63082	0.24635	0.11885	0.61907	0.10126	0.12976	0.53859	0.05501	0.18216	0.83722	0.05904	0.16391	0.73192	0.03903	0.07864	0.73425	0.98700	0.45115	0.73770	0.69706	0.44321	0.73490	0.59040	0.42210	0.67179	0.40570	0.45728	0.64178	0.10468	0.42733	0.55583	0.06136	0.39037	0.86636	0.06092	0.36495	0.76595	0.04081	0.46240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
